,name,year,genre
0,Call Me by Your Name,(2017)," Drama, Romance            "
1,Get Out,(I) (2017)," Horror, Mystery, Thriller            "
2,Män som hatar kvinnor,(2009)," Crime, Drama, Mystery            "
3,Scott Pilgrim vs. the World,(2010)," Action, Comedy, Fantasy            "
4,The Haunting,(1999)," Fantasy, Horror, Mystery            "
5,The Grand Budapest Hotel,(2014)," Adventure, Comedy, Drama            "
6,Atomic Blonde,(2017)," Action, Mystery, Thriller            "
7,Mulholland Dr.,(2001)," Drama, Mystery, Thriller            "
8,Ghost in the Shell,(2017)," Action, Drama, Sci-Fi            "
9,Bad Moms,(2016), Comedy            
10,Brokeback Mountain,(2005)," Drama, Romance            "
11,The Invitation,(I) (2015)," Drama, Horror, Mystery            "
12,The Lobster,(2015)," Comedy, Drama, Romance            "
13,Flickan som lekte med elden,(2009)," Crime, Drama, Mystery            "
14,Rough Night,(2017)," Comedy, Crime, Thriller            "
15,A Bad Moms Christmas,(2017)," Adventure, Comedy            "
16,Dodgeball: A True Underdog Story,(2004)," Comedy, Sport            "
17,Magic Mike,(2012)," Comedy, Drama            "
18,Wild Things,(1998)," Crime, Drama, Mystery            "
19,Professor Marston and the Wonder Women,(2017)," Biography, Drama            "
20,The Catcher Was a Spy,(2018)," Biography, Drama, War            "
21,Alexander,(2004)," Action, Adventure, Biography            "
22,Vicky Cristina Barcelona,(2008)," Drama, Romance            "
23,The Talented Mr. Ripley,(1999)," Crime, Drama, Thriller            "
24,Mike and Dave Need Wedding Dates,(2016)," Adventure, Comedy, Romance            "
25,Rent,(2005)," Drama, Musical, Romance            "
26,Film Stars Don't Die in Liverpool,(2017)," Biography, Drama, Romance            "
27,Basic Instinct 2,(2006)," Drama, Mystery, Thriller            "
28,Thirteen,(2003), Drama            
29,Youth,(I) (2015)," Comedy, Drama, Music            "
30,State of Play,(2009)," Crime, Drama, Mystery            "
31,Beach Rats,(2017), Drama            
32,Bully,(2001)," Biography, Crime, Drama            "
33,Shortbus,(2006)," Drama, Romance            "
34,Quills,(2000)," Biography, Drama            "
35,The Rules of Attraction,(2002)," Comedy, Drama, Romance            "
36,On the Road,(2012)," Adventure, Drama, Romance            "
37,Go,(1999)," Comedy, Crime            "
38,Imagine Me & You,(2005)," Comedy, Drama, Romance            "
39,Sexy Beast,(2000)," Crime, Drama, Thriller            "
40,Todo sobre mi madre,(1999), Drama            
41,Velvet Goldmine,(1998)," Drama, Music            "
42,Murder Party,(2007)," Comedy, Drama, Horror            "
43,But I'm a Cheerleader,(1999)," Comedy, Drama, Romance            "
44,Gigli,(2003)," Comedy, Crime, Romance            "
45,Hatchet,(2006)," Comedy, Horror            "
46,Fucking Åmål,(1998)," Comedy, Drama, Romance            "
47,The Canyons,(2013)," Drama, Thriller            "
48,The Informers,(2008)," Crime, Drama, Thriller            "
49,Koroshiya 1,(2001)," Action, Comedy, Crime            "
50,I Am Michael,(2015)," Biography, Drama, Romance            "
51,Party Monster,(2003)," Biography, Crime, Drama            "
52,Auto Focus,(2002)," Biography, Crime, Drama            "
53,Kinsey,(2004)," Biography, Drama, Romance            "
54,Wonder Boys,(2000)," Comedy, Drama            "
55,"Plaire, aimer et courir vite",(2018)," Drama, Romance            "
56,Zombie Strippers!,(2008)," Comedy, Horror, Sci-Fi            "
57,Bloomington,(2010), Drama            
58,Freier Fall,(2013)," Drama, Romance            "
59,Summer of Sam,(1999)," Crime, Drama, Romance            "
60,Brideshead Revisited,(2008)," Drama, Romance            "
61,Savage Grace,(2007), Drama            
62,Our Idiot Brother,(2011)," Comedy, Drama            "
63,Sorority Boys,(2002), Comedy            
64,Lap Dance,(2014), Drama            
65,Chroniques sexuelles d'une famille d'aujourd'hui,(2012)," Comedy, Drama, Romance            "
66,Where the Truth Lies,(2005)," Crime, Drama, Mystery            "
67,Les amours imaginaires,(2010)," Drama, Romance            "
68,Frontière(s),(2007), Horror            
69,Titus,(1999)," Drama, History, Thriller            "
70,Kissing Jessica Stein,(2001)," Comedy, Drama, Romance            "
71,Contracted,(2013)," Drama, Horror, Thriller            "
72,Kiss the Bride,(2002)," Comedy, Drama, Romance            "
73,Feast of Love,(2007)," Drama, Romance            "
74,The Opposite of Sex,(1998), Comedy            
75,The History Boys,(2006)," Comedy, Drama, Romance            "
76,Laurel Canyon,(2002), Drama            
77,Pretty Persuasion,(2005)," Comedy, Drama            "
78,Appropriate Behavior,(2014)," Comedy, Drama, Romance            "
79,Deathgasm,(2015)," Action, Comedy, Horror            "
80,Les petits mouchoirs,(2010)," Comedy, Drama            "
81,Don's Plum,(2001)," Comedy, Drama            "
82,The D Train,(2015)," Comedy, Drama            "
83,Viharsarok,(2014)," Drama, Romance, Sport            "
84,XX/XY,(2002)," Drama, Romance            "
85,Another Gay Movie,(2006)," Comedy, Romance            "
86,Stage Beauty,(2004), Drama            
87,Los amantes pasajeros,(2013), Comedy            
88,Gutterballs,(2008)," Comedy, Horror, Sport            "
89,Flawless,(1999)," Comedy, Crime, Drama            "
90,Tom of Finland,(2017)," Biography, Drama            "
91,The Sex Monster,(1999), Comedy            
92,AWOL,(2016)," Drama, Romance            "
93,Rise,(2007)," Action, Horror, Mystery            "
94,Iris,(I) (2001)," Biography, Drama, Romance            "
95,The Humbling,(2014)," Comedy, Drama, Romance            "
96,De-Lovely,(2004)," Biography, Drama, Music            "
97,Eating Out,(I) (2004)," Comedy, Drama, Romance            "
98,Body of Deceit,(2015)," Mystery, Romance, Thriller            "
99,Milk and Honey: The Movie,(2018)," Action, Crime, Drama            "
100,Surrender Dorothy,(1998)," Comedy, Drama, Romance            "
101,L.I.E.,(2001)," Crime, Drama            "
102,Sommersturm,(2004)," Comedy, Drama, Romance            "
103,Little Ashes,(2008)," Biography, Drama, Romance            "
104,Yo soy la felicidad de este mundo,(2014), Drama            
105,The Matador,(2005)," Comedy, Crime, Drama            "
106,Itty Bitty Titty Committee,(2007)," Comedy, Drama, Romance            "
107,The Aristocrats,(2005)," Documentary, Comedy            "
108,Trick,(1999)," Comedy, Music, Romance            "
109,Margarita with a Straw,(2014), Drama            
110,A Home at the End of the World,(2004)," Drama, Romance            "
111,El sexo de los ángeles,(2012)," Drama, Romance            "
112,The Sex Movie,(2006), Drama            
113,Possession,(2002)," Drama, Mystery, Romance            "
114,Dare,(2009)," Drama, Romance            "
115,I Melt with You,(2011), Drama            
116,Black and White,(I) (1999)," Crime, Drama, Music            "
117,Howl,(2010)," Biography, Drama, Romance            "
118,Plunkett & Macleane,(1999)," Action, Adventure, Crime            "
119,Cowboys & Angels,(2003)," Comedy, Drama            "
120,Plush,(2013)," Drama, Music, Thriller            "
121,Head On,(1998)," Drama, Romance            "
122,Nadie nos mira,(2017), Drama            
123,Eating Out 2: Sloppy Seconds,(2006)," Comedy, Romance            "
124,Groove,(2000)," Drama, Music            "
125,Les chansons d'amour,(2007)," Drama, Musical, Romance            "
126,Kapgang,(2014)," Drama, History            "
127,Me Him Her,(2015)," Comedy, Romance            "
128,Je te mangerais,(2009)," Drama, Music            "
129,101 Reykjavík,(2000)," Comedy, Romance            "
130,Le fate ignoranti,(2001)," Drama, Romance            "
131,Back Soon,(2007)," Drama, Romance            "
132,Easy,(2003)," Comedy, Romance, Drama            "
133,KickOff,(2011)," Comedy, Drama, Sport            "
134,Ssang-hwa-jeom,(2008)," Drama, History, Romance            "
135,Les rencontres d'après minuit,(2013)," Comedy, Drama, Romance            "
136,Mozart and the Whale,(2005)," Comedy, Drama, Romance            "
137,Girltrash: All Night Long,(2014)," Comedy, Crime, Drama            "
138,The Mysteries of Pittsburgh,(2008)," Adventure, Comedy, Drama            "
139,Zui hao de shi guang,(2005)," Drama, Romance            "
140,The Awakening of Gabriella,(1999), Drama            
141,Your Friends & Neighbors,(1998)," Comedy, Drama, Romance            "
142,Happî awâ,(2015), Drama            
143,I'll Sleep When I'm Dead,(2003)," Crime, Drama, Mystery            "
144,Plan B,(I) (2009)," Comedy, Drama, Romance            "
145,Going Under,(2004), Drama            
146,A Date for Mad Mary,(2016)," Comedy, Drama, Romance            "
147,Grande école,(2004)," Drama, Romance            "
148,Das Sommerhaus,(2014), Drama            
149,Sinful Obsession,(1999), Drama            
150,New Best Friend,(2002)," Drama, Mystery, Thriller            "
151,The Four-Faced Liar,(2010)," Comedy, Drama, Romance            "
152,Humpday,(2009)," Comedy, Drama, Romance            "
153,Thirteen Conversations About One Thing,(2001), Drama            
154,Edge of Seventeen,(1998)," Comedy, Drama, Romance            "
155,Colour Me Kubrick: A True...ish Story,(2005)," Comedy, Drama            "
156,The Last Straight Man,(2014)," Comedy, Drama, Romance            "
157,Teenage Kicks,(2016), Drama            
158,My Brother the Devil,(2012)," Crime, Drama, Romance            "
159,Puccini for Beginners,(2006)," Comedy, Romance            "
160,El otro lado de la cama,(2002)," Comedy, Drama, Musical            "
161,B. Monkey,(1998)," Crime, Drama, Romance            "
162,Clean,(I) (2004)," Drama, Music, Romance            "
163,Imaginary Heroes,(2004)," Comedy, Drama            "
164,Swingers,(2002)," Drama, Romance            "
165,Luster,(2002)," Comedy, Drama            "
166,Tau kwai mo jeu,(2002)," Action, Drama, Mystery            "
167,Sex with Strangers,(2002)," Documentary, Drama            "
168,L'imbalsamatore,(2002)," Drama, Romance            "
169,NSFW: Not Safe for Work,(2014)," Comedy, Drama, Romance            "
170,5x2,(2004)," Drama, Romance            "
171,Wild Side,(2004)," Drama, Romance            "
172,Kiss the Bride,(2007)," Comedy, Romance            "
173,Hors les murs,(2012)," Drama, Romance            "
174,Violette,(2013)," Biography, Drama, Romance            "
175,Prey for Rock & Roll,(2003)," Drama, Music            "
176,Hellbent,(2004)," Horror, Thriller            "
177,The 24th Day,(2004), Thriller            
178,Complices,(2009)," Crime, Romance            "
179,Speedway Junky,(1999)," Crime, Drama, Romance            "
180,Chacun sa nuit,(2006), Drama            
181,Embrassez qui vous voudrez,(2002)," Comedy, Drama, Romance            "
182,Oxygono,(2003)," Drama, Romance            "
183,Heterosexual Jill,(2013), Comedy            
184,Surrender,(I) (2003), Drama            
185,Te prometo anarquía,(2015), Drama            
186,Tiresia,(2003), Drama            
187,Sitcom,(1998)," Comedy, Drama, Romance            "
188,À trois on y va,(2015)," Comedy, Romance            "
189,The Velocity of Gary,(1998)," Comedy, Drama, Romance            "
190,Plynace wiezowce,(2013)," Drama, Romance            "
191,Lan Yu,(2001)," Drama, Romance            "
192,I Love You Both,(2016)," Comedy, Drama            "
193,The Pit and the Pendulum,(2009)," Horror, Thriller            "
194,Gerontophilia,(2013)," Comedy, Romance            "
195,Les bien-aimés,(2011)," Drama, Musical, Romance            "
196,Der Kreis,(2014)," Documentary, Biography, Drama            "
197,Glue,(2006)," Drama, Romance            "
198,Mapplethorpe: Look at the Pictures,(2016)," Documentary, Biography            "
199,Xdeal,(2011), Drama            
200,Love or Whatever,(2012)," Comedy, Romance            "
201,Les amants criminels,(1999)," Crime, Drama, Thriller            "
202,The Broken Tower,(2011)," Biography, Drama, History            "
203,Was nützt die Liebe in Gedanken,(2004)," Drama, Romance            "
204,Somos tr3s,(2018), Drama            
205,En kort en lang,(2001)," Comedy, Romance, Drama            "
206,Truth,(2013)," Drama, Romance, Thriller            "
207,Plata quemada,(2000)," Crime, Drama, Romance            "
208,Eu te amo Renato,(2012)," Drama, History, Music            "
209,Hardcore,(2004)," Drama, Crime            "
210,L'école de la chair,(1998)," Drama, Mystery, Romance            "
211,Il compleanno,(2009)," Drama, Mystery, Romance            "
212,Chance,(2002)," Comedy, Drama            "
213,Bedrooms and Hallways,(1998)," Comedy, Romance            "
214,Jesus Christ Vampire Hunter,(2001)," Action, Comedy, Horror            "
215,The Five Senses,(1999)," Comedy, Drama, Music            "
216,The Business of Strangers,(2001)," Drama, Thriller            "
217,The Raspberry Reich,(2004)," Comedy, Drama, Romance            "
218,Honeyglue,(2015)," Drama, Romance            "
219,Mãe Só Há Uma,(2016), Drama            
220,A Blast,(2014)," Drama, Thriller            "
221,Elenore Makes Love,(2014)," Drama, Romance            "
222,Are All Men Pedophiles?,(2013)," Documentary, History            "
223,Race You to the Bottom,(2005)," Drama, Romance            "
224,Orgy of the Damned,(2010)," Fantasy, Horror, Thriller            "
225,La partida,(2013)," Drama, Romance            "
226,Billy's Hollywood Screen Kiss,(1998)," Comedy, Romance            "
