,name,year,genre
0,Bohemian Rhapsody,(2018)," Biography, Drama, Music            "
1,A Star Is Born,(2018)," Drama, Music, Romance            "
2,V for Vendetta,(2005)," Action, Drama, Sci-Fi            "
3,The Shape of Water,(2017)," Adventure, Drama, Fantasy            "
4,Call Me by Your Name,(2017)," Drama, Romance            "
5,Can You Ever Forgive Me?,(2018)," Biography, Comedy, Crime            "
6,The Wolf of Wall Street,(2013)," Biography, Comedy, Crime            "
7,Climax,(2018)," Drama, Horror, Music            "
8,Scott Pilgrim vs. the World,(2010)," Action, Comedy, Fantasy            "
9,Mamma Mia!,(2008)," Comedy, Musical, Romance            "
10,Truth or Dare,(I) (2018)," Horror, Thriller            "
11,"Love, Simon",(2018)," Comedy, Drama, Romance            "
12,Alien: Covenant,(2017)," Horror, Sci-Fi, Thriller            "
13,Blockers,(2018), Comedy            
14,Cloud Atlas,(2012)," Action, Drama, Mystery            "
15,The Happy Prince,(2018)," Biography, Drama            "
16,Spotlight,(I) (2015)," Crime, Drama, History            "
17,The Perks of Being a Wallflower,(2012)," Drama, Romance            "
18,8 Mile,(2002)," Drama, Music            "
19,Happy Death Day,(2017)," Horror, Mystery, Thriller            "
20,Legend,(I) (2015)," Biography, Crime, Drama            "
21,Irréversible,(2002)," Crime, Drama, Mystery            "
22,Just Go with It,(2011)," Comedy, Romance            "
23,Brokeback Mountain,(2005)," Drama, Romance            "
24,Dallas Buyers Club,(2013)," Biography, Drama            "
25,Kick-Ass 2,(2013)," Action, Comedy, Crime            "
26,Sweet Home Alabama,(2002)," Comedy, Romance            "
27,The Danish Girl,(2015)," Biography, Drama, History            "
28,Dirty Grandpa,(2016), Comedy            
29,Wedding Crashers,(2005)," Comedy, Romance            "
30,Easy A,(2010)," Comedy, Drama, Romance            "
31,Below Her Mouth,(2016)," Drama, Romance            "
32,American Reunion,(2012), Comedy            
33,Sex and the City 2,(2010)," Comedy, Drama, Romance            "
34,In Bruges,(2008)," Comedy, Crime, Drama            "
35,Talladega Nights: The Ballad of Ricky Bobby,(2006)," Comedy, Sport            "
36,Monster,(2003)," Biography, Crime, Drama            "
37,Rock of Ages,(2012)," Comedy, Drama, Musical            "
38,Layer Cake,(2004)," Crime, Drama, Thriller            "
39,Y tu mamá también,(2001)," Adventure, Comedy, Drama            "
40,Won't You Be My Neighbor?,(2018)," Documentary, Biography            "
41,The Gift,(VI) (2015)," Drama, Mystery, Thriller            "
42,Love the Coopers,(2015)," Comedy, Fantasy, Romance            "
43,Stronger,(I) (2017)," Biography, Drama            "
44,Little Miss Sunshine,(2006)," Comedy, Drama            "
45,Zack and Miri Make a Porno,(2008)," Comedy, Romance            "
46,EuroTrip,(2004), Comedy            
47,Ted,(2012)," Comedy, Fantasy, Romance            "
48,Neighbors 2: Sorority Rising,(2016), Comedy            
49,Blow,(2001)," Biography, Crime, Drama            "
50,The Boondock Saints,(1999)," Action, Crime, Thriller            "
51,Elizabeth,(1998)," Biography, Drama, History            "
52,Big Daddy,(1999)," Comedy, Drama            "
53,RocknRolla,(2008)," Action, Crime, Thriller            "
54,Role Models,(2008), Comedy            
55,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006), Comedy            
56,"Game Over, Man!",(2018)," Action, Comedy            "
57,Waiting...,(I) (2005), Comedy            
58,Grave,(II) (2016)," Drama, Horror            "
59,Cult of Chucky,(2017)," Horror, Thriller            "
60,Enter the Void,(2009)," Drama, Fantasy            "
61,Burnt,(I) (2015)," Comedy, Drama            "
62,The Catcher Was a Spy,(2018)," Biography, Drama, War            "
63,Magnolia,(1999), Drama            
64,Alexander,(2004)," Action, Adventure, Biography            "
65,Mike and Dave Need Wedding Dates,(2016)," Adventure, Comedy, Romance            "
66,"I Love You, Man",(2009)," Comedy, Romance            "
67,Click,(2006)," Comedy, Drama, Fantasy            "
68,Lizzie,(2018)," Biography, Crime, Drama            "
69,Sex Drive,(2008)," Adventure, Comedy, Romance            "
70,Rent,(2005)," Drama, Musical, Romance            "
71,Scary Movie 4,(2006), Comedy            
72,ParaNorman,(2012)," Animation, Adventure, Comedy            "
73,Under the Tuscan Sun,(2003)," Comedy, Drama, Romance            "
74,Death at a Funeral,(2007), Comedy            
75,Billy Elliot,(2000)," Drama, Music, Romance            "
76,Election,(1999)," Comedy, Drama, Romance            "
77,A Single Man,(2009)," Drama, Romance            "
78,Gosford Park,(2001)," Comedy, Drama, Mystery            "
79,Little Children,(2006)," Drama, Romance            "
80,Youth,(I) (2015)," Comedy, Drama, Music            "
81,Bride of Chucky,(1998)," Comedy, Horror            "
82,Testament of Youth,(2014)," Biography, Drama, History            "
83,"Dude, Where's My Car?",(2000)," Comedy, Mystery, Sci-Fi            "
84,Bad Santa,(2003)," Comedy, Crime, Drama            "
85,God's Own Country,(2017)," Drama, Romance            "
86,Milk,(I) (2008)," Biography, Drama            "
87,Child 44,(2015)," Crime, Drama, History            "
88,Young Adult,(2011)," Comedy, Drama            "
89,The Mechanic,(2011)," Action, Crime, Thriller            "
90,Pride,(I) (2014)," Biography, Comedy, Drama            "
91,Florence Foster Jenkins,(2016)," Biography, Comedy, Drama            "
92,Beach Rats,(2017), Drama            
93,The Constant Gardener,(2005)," Drama, Mystery, Romance            "
94,Bend It Like Beckham,(2002)," Comedy, Drama, Romance            "
95,Along Came Polly,(2004)," Comedy, Romance            "
96,Snakes on a Plane,(2006)," Action, Adventure, Crime            "
97,Nick and Norah's Infinite Playlist,(2008)," Comedy, Drama, Music            "
98,The Paperboy,(2012)," Crime, Drama, Mystery            "
99,Brad's Status,(2017)," Comedy, Drama, Music            "
100,Fruitvale Station,(2013)," Biography, Drama, Romance            "
101,Bedazzled,(2000)," Comedy, Fantasy            "
102,Capote,(2005)," Biography, Crime, Drama            "
103,40 Days and 40 Nights,(2002)," Comedy, Romance            "
104,Horns,(2013)," Crime, Drama, Fantasy            "
105,Sweet November,(2001)," Drama, Romance            "
106,My Cousin Rachel,(2017)," Drama, Mystery, Romance            "
107,Lucky Number Slevin,(2006)," Crime, Drama, Mystery            "
108,A Hologram for the King,(2016)," Comedy, Drama, Romance            "
109,Boys Don't Cry,(1999)," Biography, Crime, Drama            "
110,Confessions of a Dangerous Mind,(2002)," Biography, Comedy, Crime            "
111,Ideal Home,(2018)," Comedy, Drama            "
112,J. Edgar,(2011)," Biography, Crime, Drama            "
113,Spun,(2002)," Comedy, Crime, Drama            "
114,The Rules of Attraction,(2002)," Comedy, Drama, Romance            "
