,name,year,genre
0,La piel que habito,(2011)," Drama, Horror, Thriller            "
1,Girl,(II) (2018), Drama            
2,Dallas Buyers Club,(2013)," Biography, Drama            "
3,The Danish Girl,(2015)," Biography, Drama, History            "
4,The Hot Chick,(2002)," Comedy, Fantasy            "
5,Predestination,(I) (2014)," Drama, Mystery, Sci-Fi            "
6,The Hangover Part II,(2011)," Comedy, Mystery            "
7,"Dude, Where's My Car?",(2000)," Comedy, Mystery, Sci-Fi            "
8,Nick and Norah's Infinite Playlist,(2008)," Comedy, Drama, Music            "
9,Rock Star,(2001)," Drama, Music            "
10,Boys Don't Cry,(1999)," Biography, Crime, Drama            "
11,Una Mujer Fantástica,(2017), Drama            
12,Todo sobre mi madre,(1999), Drama            
13,But I'm a Cheerleader,(1999)," Comedy, Drama, Romance            "
14,Tangerine,(2015)," Comedy, Crime, Drama            "
15,How to Lose Friends & Alienate People,(2008)," Biography, Comedy, Drama            "
16,Albert Nobbs,(2011)," Drama, Romance            "
17,La mala educación,(2004)," Crime, Drama            "
18,Better Than Chocolate,(1999)," Comedy, Drama, Romance            "
19,Breakfast on Pluto,(2005)," Comedy, Drama            "
20,It's a Boy Girl Thing,(2006)," Comedy, Fantasy, Romance            "
21,Hedwig and the Angry Inch,(2001)," Comedy, Drama, Music            "
22,Stan Helsing,(2009)," Comedy, Horror            "
23,Stonewall,(2015), Drama            
24,Zatôichi,(2003)," Action, Comedy, Crime            "
25,Laurence Anyways,(2012)," Drama, Romance            "
26,Hollywood Homicide,(2003)," Action, Comedy, Crime            "
27,Transamerica,(2005)," Adventure, Comedy, Drama            "
28,3 Generations,(2015), Drama            
29,Tôkyô goddofâzâzu,(2003)," Animation, Adventure, Comedy            "
30,Gutterballs,(2008)," Comedy, Horror, Sport            "
31,Flawless,(1999)," Comedy, Crime, Drama            "
32,Just Charlie,(2017), Drama            
33,Tomboy,(2011), Drama            
34,Kevin & Perry Go Large,(2000)," Comedy, Music            "
35,Eating Out: The Open Weekend,(2011), Comedy            
36,Truth or Dare,(II) (2013)," Horror, Thriller            "
37,Milk and Honey: The Movie,(2018)," Action, Crime, Drama            "
38,Surrender Dorothy,(1998)," Comedy, Drama, Romance            "
39,Boy Meets Girl,(I) (2014)," Comedy, Drama, Romance            "
40,Transylmania,(2009)," Comedy, Horror            "
41,Romeos,(2011)," Drama, Romance            "
42,Frankie Go Boom,(2012), Comedy            
43,The Big Bang,(2010)," Action, Mystery, Thriller            "
44,Daniel der Zauberer,(2004)," Comedy, Crime, Fantasy            "
45,Pojkarna,(II) (2015), Drama            
46,The Untold Tales of Armistead Maupin,(2017), Documentary            
47,I Hate New York,(2018), Documentary            
48,Life Is Hot in Cracktown,(2009)," Crime, Drama            "
49,Masti,(2004)," Comedy, Crime, Mystery            "
50,Malice in Wonderland,(2009)," Adventure, Drama, Fantasy            "
51,House of Boys,(2009)," Drama, Music, Romance            "
52,Karera ga honki de amu toki wa,(2017), Drama            
53,Saturday Church,(2017)," Drama, Fantasy, Musical            "
54,Yazi Tura,(2004), Drama            
55,Wild Side,(2004)," Drama, Romance            "
56,The Death and Life of Marsha P. Johnson,(2017), Documentary            
57,The Adventures of Sebastian Cole,(1998)," Comedy, Drama            "
58,Bruno,(2000)," Comedy, Drama            "
59,Magnifica presenza,(2012)," Comedy, Drama, Fantasy            "
60,20 centímetros,(2005)," Comedy, Musical            "
61,Sexual Chemistry,(1999)," Comedy, Sci-Fi            "
62,Azul y no tan rosa,(2012)," Drama, Romance            "
63,The Grief Tourist,(2012)," Drama, Thriller            "
64,Spidarlings,(2016)," Comedy, Horror, Musical            "
65,Mãe Só Há Uma,(2016), Drama            
66,Die Beautiful,(2016)," Comedy, Drama            "
67,TransMilitary,(2018), Documentary            
68,52 Tuesdays,(2013), Drama            
69,Strella,(2009), Drama            
70,Qissa: The Tale of a Lonely Ghost,(2013)," Drama, Fantasy            "
71,Desire Will Set You Free,(2015)," Comedy, Drama, Romance            "
72,Beautiful Boxer,(2004)," Action, Biography, Drama            "
73,Drunktown's Finest,(2014), Drama            
