,budget,company,country,director,gross,name,rate,star,voter
0,"€4,000,000","Frenesy Film Company,La Cinéfacture,RT Features,See more »,","Italy,France,Brazil,USA",Luca Guadagnino,"$18,095,701,",Call Me by Your Name (2017) ,8.0,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,|,See full cast & crew,","131,656"
1,"$5,000,000","Universal Pictures,Blumhouse Productions,QC Entertainment,See more »,","Japan,USA",Jordan Peele,"$176,040,665",Get Out (2017) ,7.7,"Daniel Kaluuya,Allison Williams,Bradley Whitford,|,See full cast & crew,","343,495"
2,"$13,000,000","Yellow Bird,ZDF Enterprises,Sveriges Television (SVT),See more »,","Sweden,Denmark,Germany,Norway",Niels Arden Oplev,"$10,095,170,",Män som hatar kvinnor (2009) ,7.8,"Michael Nyqvist,Noomi Rapace,Ewa Fröling,|,See full cast & crew,","193,288"
3,"$60,000,000","Universal Pictures,Marc Platt Productions,Big Talk Productions,See more »,","USA,UK,Canada,Japan",Edgar Wright,"$31,494,270,",Scott Pilgrim vs. the World (2010) ,7.5,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,|,See full cast & crew,","326,465"
4,"$80,000,000","DreamWorks,Roth-Arnold Productions,See more »,",USA,Jan de Bont,"$91,411,151",The Haunting (1999) ,4.9,"Liam Neeson,Catherine Zeta-Jones,Owen Wilson,|,See full cast & crew,","65,392"
5,"$25,000,000","Fox Searchlight Pictures,Indian Paintbrush,Studio Babelsberg,See more »,","USA,Germany",Wes Anderson,"$59,100,318",The Grand Budapest Hotel (2014) ,8.1,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,|,See full cast & crew,","607,687"
6,"$30,000,000","87Eleven,Closed on Mondays Entertainment,Denver and Delilah Productions,See more »,","Germany,Sweden,USA",David Leitch,"$51,573,925,",Atomic Blonde (2017) ,6.7,"Charlize Theron,James McAvoy,John Goodman,|,See full cast & crew,","138,250"
7,"$15,000,000","Les Films Alain Sarde,Asymmetrical Productions,Babbo Inc.,See more »,","France,USA",David Lynch,"$7,220,243",Mulholland Dr. (2001) ,8.0,"Naomi Watts,Laura Harring,Justin Theroux,|,See full cast & crew,","282,135"
8,"$110,000,000","Paramount Pictures,DreamWorks,Reliance Entertainment,See more »,","USA,India,Hong Kong,China",Rupert Sanders,"$40,533,014,",Ghost in the Shell (2017) ,6.4,"Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,|,See full cast & crew,","163,771"
9,"$20,000,000","STX Entertainment,Huayi Brothers Media,BillBlock Media,See more »,",USA,,"$113,257,297",Bad Moms (2016) ,6.2,"Mila Kunis,Kathryn Hahn,Kristen Bell,|,See full cast & crew,","95,469"
10,"$14,000,000","Focus Features,River Road Entertainment,Alberta Film Entertainment,See more »,","USA,Canada",Ang Lee,"$83,043,761",Brokeback Mountain (2005) ,7.7,"Jake Gyllenhaal,Heath Ledger,Michelle Williams,|,See full cast & crew,","291,780"
11,,"Gamechanger Films,Lege Artis,The Invitation,See more »,",USA,Karyn Kusama,"$231,703,",The Invitation (2015) ,6.7,"Logan Marshall-Green,Emayatzy Corinealdi,Michiel Huisman,|,See full cast & crew,","62,917"
12,"€4,000,000","Film4,Irish Film Board,Irish Film Board,See more »,","Ireland,UK,Greece,France,Netherlands",Yorgos Lanthimos,"$8,699,235,",The Lobster (2015) ,7.1,"Colin Farrell,Rachel Weisz,Jessica Barden,|,See full cast & crew,","162,344"
13,"€4,000,000","Yellow Bird,ZDF Enterprises,Sveriges Television (SVT),See more »,","Sweden,Denmark,Germany",Daniel Alfredson,"$9,081,782",Flickan som lekte med elden (2009) ,7.2,"Noomi Rapace,Michael Nyqvist,Lena Endre,|,See full cast & crew,","82,778"
14,"$20,000,000","Paulilu Productions,Sony Pictures Entertainment (SPE),See more »,",USA,Lucia Aniello,"$22,062,200,",Rough Night (2017) ,5.2,"Scarlett Johansson,Kate McKinnon,Zoë Kravitz,|,See full cast & crew,","35,803"
15,"$28,000,000","Huayi Brothers Media,STX Entertainment,See more »,","USA,China",,"$72,110,659,",A Bad Moms Christmas (2017) ,5.5,"Mila Kunis,Kristen Bell,Kathryn Hahn,|,See full cast & crew,","27,221"
16,"$20,000,000","Twentieth Century Fox,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Red Hour Films,See more »,","USA,Germany",Rawson Marshall Thurber,"$114,326,736",Dodgeball: A True Underdog Story (2004) ,6.7,"Ben Stiller,Christine Taylor,Vince Vaughn,|,See full cast & crew,","208,071"
17,"$7,000,000","Iron Horse Entertainment (II),Extension 765,St. Petersburg Clearwater Film Commission,See more »,",USA,Steven Soderbergh,"$113,721,571,",Magic Mike (2012) ,6.1,"Channing Tatum,Alex Pettyfer,Olivia Munn,|,See full cast & crew,","121,100"
18,"$20,000,000","Mandalay Entertainment,See more »,",USA,John McNaughton,"$29,753,944,",Wild Things (1998) ,6.5,"Kevin Bacon,Neve Campbell,Matt Dillon,|,See full cast & crew,","99,210"
19,,"Opposite Field Pictures,Boxspring Entertainment,Stage 6 Films,See more »,",USA,Angela Robinson,"$1,584,759,",Professor Marston and the Wonder Women (2017) ,7.1,"Luke Evans,Rebecca Hall,Bella Heathcote,|,See full cast & crew,","15,315"
20,,"PalmStar Media,Animus Films,Serena Films,See more »,",USA,Ben Lewin,"$712,438,",The Catcher Was a Spy (2018) ,6.1,"Paul Rudd,Connie Nielsen,Sienna Miller,|,See full cast & crew,","2,820"
21,,"Warner Bros.,Intermedia Films,Pacifica Film,See more »,","Germany,USA,Netherlands,France,UK,Italy",Oliver Stone,,Alexander (2004) ,5.6,"Colin Farrell,Anthony Hopkins,Rosario Dawson,|,See full cast & crew,","151,728"
22,"$15,500,000","The Weinstein Company,Mediapro,Gravier Productions,See more »,","Spain,USA",Woody Allen,"$23,216,709",Vicky Cristina Barcelona (2008) ,7.1,"Rebecca Hall,Scarlett Johansson,Javier Bardem,|,See full cast & crew,","222,782"
23,"$40,000,000","Miramax,Paramount Pictures,Mirage Enterprises,See more »,",USA,Anthony Minghella,"$81,298,265",The Talented Mr. Ripley (1999) ,7.4,"Matt Damon,Gwyneth Paltrow,Jude Law,|,See full cast & crew,","157,254"
24,"$33,000,000","Twentieth Century Fox,Chernin Entertainment,TSG Entertainment,See more »,",USA,Jake Szymanski,"$46,007,113,",Mike and Dave Need Wedding Dates (2016) ,6.0,"Zac Efron,Adam Devine,Anna Kendrick,|,See full cast & crew,","71,170"
25,"$40,000,000","Rent Productions LLC,1492 Pictures,Revolution Studios,See more »,",USA,Chris Columbus,"$29,077,547,",Rent (2005) ,7.0,"Taye Diggs,Wilson Jermaine Heredia,Rosario Dawson,|,See full cast & crew,","45,447"
26,"$10,000,000","Eon Productions,Synchronistic Pictures,See more »,",UK,Paul McGuigan,"$1,026,124,",Film Stars Don't Die in Liverpool (2017) ,6.7,"Annette Bening,Jamie Bell,Kenneth Cranham,|,See full cast & crew,","5,371"
27,"$70,000,000","Metro-Goldwyn-Mayer (MGM),C-2 Pictures,Intermedia Films,See more »,","UK,Germany,Spain,USA",Michael Caton-Jones,"$5,971,336",Basic Instinct 2 (2006) ,4.3,"Sharon Stone,David Morrissey,David Thewlis,|,See full cast & crew,","34,361"
28,"$1,500,000","Fox Searchlight Pictures,Michael London Productions,Working Title Films,See more »,","USA,UK",Catherine Hardwicke,"$4,599,680,",Thirteen (2003) ,6.8,"Evan Rachel Wood,Holly Hunter,Nikki Reed,|,See full cast & crew,","74,586"
29,"€12,300,000","Indigo Film,Barbary Films,Pathé,See more »,","Italy,France,UK,Switzerland",Paolo Sorrentino,"$2,698,509,",Youth (2015) ,7.3,"Michael Caine,Harvey Keitel,Rachel Weisz,|,See full cast & crew,","61,799"
30,,"Universal Pictures,Working Title Films,StudioCanal,See more »,","USA,UK,France",Kevin Macdonald,"$37,017,955,",State of Play (2009) ,7.1,"Russell Crowe,Rachel McAdams,Ben Affleck,|,See full cast & crew,","123,654"
31,,"Cinereach,Animal Kingdom,Secret Engine,See more »,",USA,Eliza Hittman,"$472,368,",Beach Rats (2017) ,6.4,"Harris Dickinson,Madeline Weinstein,Kate Hodge,|,See full cast & crew,","8,005"
32,,"StudioCanal,Lions Gate Films,Muse Productions,See more »,","USA,France,UK",Larry Clark,"$1,537,670,",Bully (2001) ,7.0,"Brad Renfro,Nick Stahl,Bijou Phillips,|,See full cast & crew,","31,850"
33,"$2,000,000","THINKFilm,Fortissimo Films,Q Television,See more »,",USA,John Cameron Mitchell,"$1,985,292,",Shortbus (2006) ,6.5,"Sook-Yin Lee,Peter Stickles,PJ DeBoy,|,See full cast & crew,","29,958"
34,"$13,500,000","Fox Searchlight Pictures,Industry Entertainment,Walrus & Associates,See more »,","UK,Germany,USA",Philip Kaufman,"$7,060,876,",Quills (2000) ,7.3,"Geoffrey Rush,Kate Winslet,Joaquin Phoenix,|,See full cast & crew,","48,333"
35,"$4,000,000","Kingsgate Films,Roger Avary Filmproduktion GmbH,See more »,","Germany,USA",Roger Avary,"$6,532,619,",The Rules of Attraction (2002) ,6.7,"James Van Der Beek,Ian Somerhalder,Shannyn Sossamon,|,See full cast & crew,","47,012"
36,"$25,000,000","MK2 Productions,American Zoetrope,Jerry Leider Company,See more »,","France,USA,UK,Brazil,Canada,Argentina",Walter Salles,"$717,753,",On the Road (2012) ,6.1,"Sam Riley,Garrett Hedlund,Kristen Stewart,|,See full cast & crew,","37,217"
37,"$20,000,000","Columbia Pictures Corporation,Banner Entertainment,Saratoga Entertainment,See more »,",USA,Doug Liman,"$16,842,303,",Go (1999) ,7.3,"Sarah Polley,Jay Mohr,Scott Wolf,|,See full cast & crew,","63,138"
38,"$7,900,000","BBC Films,Cougar Films Ltd.,Ealing Studios,See more »,","UK,Germany",Ol Parker,"$671,240,",Imagine Me & You (2005) ,6.8,"Piper Perabo,Lena Headey,Matthew Goode,|,See full cast & crew,","26,683"
39,,"Recorded Picture Company (RPC),FilmFour,Chronopolis Films,See more »,","UK,Spain",Jonathan Glazer,"$6,946,056,",Sexy Beast (2000) ,7.3,"Ray Winstone,Ben Kingsley,Ian McShane,|,See full cast & crew,","48,916"
40,,"El Deseo,Renn Productions,France 2 Cinéma,See more »,","Spain,France",Pedro Almodóvar,"$8,264,530,",Todo sobre mi madre (1999) ,7.9,"Cecilia Roth,Marisa Paredes,Candela Peña,|,See full cast & crew,","78,767"
41,,"Channel Four Films,Goldwyn Films,Killer Films,See more »,","UK,USA",Todd Haynes,"$1,053,788,",Velvet Goldmine (1998) ,7.0,"Ewan McGregor,Jonathan Rhys Meyers,Christian Bale,|,See full cast & crew,","31,006"
42,,"The Lab of Madness,See more »,",USA,Jeremy Saulnier,,Murder Party (2007) ,6.1,"Chris Sharp,Kate Porterfield,Tess Porterfield Lovell,|,See full cast & crew,","6,251"
43,"$1,200,000","Cheerleader LLC,Hate Kills Man (HKM),Ignite Entertainment,See more »,",USA,Jamie Babbit,"$2,205,627",But I'm a Cheerleader (1999) ,6.6,"Natasha Lyonne,Clea DuVall,Michelle Williams,|,See full cast & crew,","22,619"
44,"$54,000,000","Revolution Studios,City Light Films,Casey Silver Productions,See more »,",USA,Martin Brest,"$6,068,735,",Gigli (2003) ,2.4,"Ben Affleck,Jennifer Lopez,Justin Bartha,|,See full cast & crew,","43,966"
45,"$1,500,000","ArieScope Pictures,High Seas Entertainment,Radioaktive Film,See more »,",USA,Adam Green,"$155,873,",Hatchet (2006) ,5.7,"Kane Hodder,Joel David Moore,Deon Richmond,|,See full cast & crew,","26,074"
46,"SEK 9,000,000","Memfis Film,Det Danske Filminstitut,Film i Väst,See more »,","Sweden,Denmark",Lukas Moodysson,"$168,761,",Fucking Åmål (1998) ,7.6,"Alexandra Dahlström,Rebecka Liljeberg,Erica Carlson,|,See full cast & crew,","46,397"
47,"$250,000","Prettybird,Post Empire Films,Sodium Fox,See more »,",USA,Paul Schrader,"$49,494,",The Canyons (2013) ,3.8,"Lindsay Lohan,James Deen,Nolan Gerard Funk,|,See full cast & crew,","9,627"
48,"$18,000,000","Senator Entertainment Co,See more »,","Germany,USA",Gregor Jordan,"$300,000,",The Informers (2008) ,5.0,"Billy Bob Thornton,Kim Basinger,Mickey Rourke,|,See full cast & crew,","15,167"
49,"$1,400,000","Omega Project,Omega Micott Inc.,Emperor Multimedia Group (EMG),See more »,","Japan,Hong Kong",Takashi Miike,"$20,285,",Koroshiya 1 (2001) ,7.1,"Tadanobu Asano,Nao Ohmori,Shin'ya Tsukamoto,|,See full cast & crew,","47,501"
50,,"Patriot Pictures,RabbitBandini Productions,Thats Hollywood,See more »,",USA,Justin Kelly,,I Am Michael (2015) ,5.7,"James Franco,Zachary Quinto,Emma Roberts,|,See full cast & crew,","3,830"
51,"$5,000,000","World of Wonder,Killer Films,ContentFilm,See more »,","USA,Netherlands",,"$728,253,",Party Monster (2003) ,6.3,"Macaulay Culkin,Wilson Cruz,Seth Green,|,See full cast & crew,","13,839"
52,"$7,000,000","Focus Puller Inc.,Good Machine,Propaganda Films,See more »,",USA,Paul Schrader,"$2,062,066,",Auto Focus (2002) ,6.6,"Greg Kinnear,Willem Dafoe,Maria Bello,|,See full cast & crew,","12,251"
53,"$11,000,000","Fox Searchlight Pictures,Qwerty Films,N1 European Film Produktions GmbH & Co. KG,See more »,","USA,Germany",Bill Condon,"$10,214,647,",Kinsey (2004) ,7.1,"Liam Neeson,Laura Linney,Chris O'Donnell,|,See full cast & crew,","45,343"
54,"$55,000,000","British Broadcasting Corporation (BBC),MFF Feature Film Productions,Marubeni,See more »,","USA,Germany,UK,Japan",Curtis Hanson,"$19,389,454,",Wonder Boys (2000) ,7.4,"Michael Douglas,Tobey Maguire,Frances McDormand,|,See full cast & crew,","57,947"
55,,"Les Films Pelléas,Arte France Cinéma,Canal+,See more »,",France,Christophe Honoré,,"Plaire, aimer et courir vite (2018) ",6.8,"Vincent Lacoste,Pierre Deladonchamps,Denis Podalydès,|,See full cast & crew,",888
56,,"Stage 6 Films,Larande Productions,Scream HQ,See more »,",USA,Jay Lee,,Zombie Strippers! (2008) ,4.1,"Jenna Jameson,Robert Englund,Roxy Saint,|,See full cast & crew,","16,760"
57,,"Frontier Studios,See more »,",USA,Fernanda Cardoso,,Bloomington (2010) ,6.0,"Allison McAtee,Sarah Stouffer,Katherine Ann McGregor,|,See full cast & crew,","4,291"
58,,"Kurhaus Production,Südwestrundfunk (SWR),See more »,",Germany,Stephan Lacant,,Freier Fall (2013) ,7.6,"Hanno Koffler,Max Riemelt,Attila Borlan,|,See full cast & crew,","15,172"
59,"$22,000,000","40 Acres & A Mule Filmworks,Touchstone Pictures,Hostage Productions,See more »,",USA,Spike Lee,"$19,283,782,",Summer of Sam (1999) ,6.6,"John Leguizamo,Adrien Brody,Mira Sorvino,|,See full cast & crew,","33,495"
60,"$20,000,000","Ecosse Films,BBC Films,UK Film Council,See more »,","UK,Italy,Morocco",Julian Jarrold,"$6,414,563,",Brideshead Revisited (2008) ,6.7,"Matthew Goode,Patrick Malahide,Hayley Atwell,|,See full cast & crew,","11,178"
61,"$4,600,000","Celluloid Dreams,Montfort Producciones,Killer Films,See more »,","France,Spain,USA",Tom Kalin,"$434,417,",Savage Grace (2007) ,5.9,"Julianne Moore,Eddie Redmayne,Stephen Dillane,|,See full cast & crew,","9,931"
62,"$5,000,000","Big Beach Films,Likely Story,The Weinstein Company,See more »,",USA,Jesse Peretz,"$24,814,830,",Our Idiot Brother (2011) ,6.4,"Paul Rudd,Elizabeth Banks,Zooey Deschanel,|,See full cast & crew,","79,545"
63,"$12,000,000","Morra, Brezner, Steinberg and Tenenbaum Entertainment (MBST),Touchstone Pictures,See more »,",USA,Wallace Wolodarsky,"$10,198,766,",Sorority Boys (2002) ,5.5,"Barry Watson,Harland Williams,Michael Rosenbaum,|,See full cast & crew,","12,981"
64,"$2,000,000","Imprint Entertainment,Datari Turner Productions,Gordon Bijelonic / Datari Turner Films,See more »,",USA,Greg Carter,,Lap Dance (2014) ,5.0,"Briana Evigan,James Remar,Stacey Dash,|,See full cast & crew,","2,205"
65,,"Toloda,Monkey Pack Films,Supersonic Productions,See more »,",France,,,Chroniques sexuelles d'une famille d'aujourd'hui (2012) ,5.3,"Mathias Melloul,Valérie Maës,Stephan Hersoen,|,See full cast & crew,","3,380"
66,"$25,000,000","Serendipity Point Films,First Choice Films,The Movie Network (TMN),See more »,","Canada,UK",Atom Egoyan,"$871,527,",Where the Truth Lies (2005) ,6.5,"Kevin Bacon,Colin Firth,Alison Lohman,|,See full cast & crew,","16,091"
67,"CAD 600,000","Mifilifilms,Quebec Film and Television Tax Credit,Canadian Film or Video Production Tax Credit (CPTC),See more »,",Canada,Xavier Dolan,"$62,985,",Les amours imaginaires (2010) ,7.2,"Xavier Dolan,Monia Chokri,Niels Schneider,|,See full cast & crew,","23,479"
68,"$3,000,000","Cartel Productions,BR Films,EuropaCorp,See more »,","France,Switzerland",Xavier Gens,,Frontière(s) (2007) ,6.3,"Karina Testa,Aurélien Wiik,Patrick Ligardes,|,See full cast & crew,","22,846"
69,,"Clear Blue Sky Productions,Overseas FilmGroup,Urania Pictures S.r.l.,See more »,","USA,Italy,UK",Julie Taymor,"$1,921,350,",Titus (1999) ,7.2,"Anthony Hopkins,Jessica Lange,Osheen Jones,|,See full cast & crew,","18,614"
70,"$1,000,000","Fox Searchlight Pictures,Brad Zions Films,Eden Wurmfeld Films,See more »,",USA,Charles Herman-Wurmfeld,"$7,022,940,",Kissing Jessica Stein (2001) ,6.6,"Jennifer Westfeldt,Heather Juergensen,Tovah Feldshuh,|,See full cast & crew,","15,069"
71,,"BoulderLight Pictures,Southern Fried Films,See more »,",USA,Eric England,"$4,105",Contracted (2013) ,5.3,"Najarra Townsend,Caroline Williams,Alice Macdonald,|,See full cast & crew,","13,005"
72,,"Empera Pictures,Imageworks Entertainment International,Replay Pictures,See more »,",USA,Vanessa Parise,,Kiss the Bride (2002) ,5.5,"Amanda Detmer,Sean Patrick Flanery,Brooke Langton,|,See full cast & crew,","1,059"
73,,"GreeneStreet Films,Lakeshore Entertainment,Metro-Goldwyn-Mayer (MGM),See more »,",USA,Robert Benton,"$3,504,875,",Feast of Love (2007) ,6.7,"Morgan Freeman,Radha Mitchell,Alexa Davalos,|,See full cast & crew,","15,221"
74,"$5,000,000","Rysher Entertainment,See more »,",USA,Don Roos,"$5,881,367",The Opposite of Sex (1998) ,6.5,"Christina Ricci,Martin Donovan,Lisa Kudrow,|,See full cast & crew,","19,159"
75,"£2,000,000","Fox Searchlight Pictures,DNA Films,BBC Two Films,See more »,",UK,Nicholas Hytner,"$2,706,659,",The History Boys (2006) ,6.9,"Richard Griffiths,Frances de la Tour,Clive Merrison,|,See full cast & crew,","19,135"
76,,"Sony Pictures Classics,Good Machine,Antidote Films (I),See more »,",USA,Lisa Cholodenko,"$3,663,356,",Laurel Canyon (2002) ,6.4,"Frances McDormand,Alessandro Nivola,Christian Bale,|,See full cast & crew,","15,010"
77,"$2,500,000","REN-Mar Studios,Prospect Pictures,See more »,",USA,Marcos Siega,"$305,688,",Pretty Persuasion (2005) ,6.6,"Evan Rachel Wood,Ron Livingston,James Woods,|,See full cast & crew,","9,343"
78,,"Parkville Pictures,See more »,",UK,Desiree Akhavan,,Appropriate Behavior (2014) ,6.6,"Desiree Akhavan,Rebecca Henderson,Halley Feiffer,|,See full cast & crew,","3,286"
79,,"Metalheads,MPI Media Group,New Zealand Film Commission,See more »,","New Zealand,USA",Jason Lei Howden,,Deathgasm (2015) ,6.3,"Milo Cawthorne,James Blake,Kimberley Crossman,|,See full cast & crew,","13,367"
80,"$25,000,000","Les Productions du Trésor,EuropaCorp,Caneo Films,See more »,",France,Guillaume Canet,"$206,088",Les petits mouchoirs (2010) ,7.1,"François Cluzet,Marion Cotillard,Benoît Magimel,|,See full cast & crew,","21,168"
81,,"Polo Pictures Entertainment,Trust Film Svenska,Zentropa Entertainments,See more »,","USA,Denmark,Sweden",R.D. Robb,,Don's Plum (2001) ,5.8,"Scott Bloom,Kevin Connolly,Tobey Maguire,|,See full cast & crew,","3,666"
82,"$3,000,000","Ealing Studios Entertainment,Ealing Studios,Electric Dynamite,See more »,","UK,USA",,"$660,994,",The D Train (2015) ,5.0,"Jack Black,James Marsden,Kathryn Hahn,|,See full cast & crew,","9,801"
83,"HUF 120,000,000","Proton Cinema,I'm FILM,Café Film,See more »,","Hungary,Germany",Ádám Császi,,Viharsarok (2014) ,6.7,"András Sütö,Ádám Varga,Sebastian Urzendowsky,|,See full cast & crew,","2,783"
84,,"Robbins Entertainment,Intrinsic Value Films,Natural Nylon Entertainment,See more »,",USA,Austin Chick,"$103,874,",XX/XY (2002) ,6.0,"Mark Ruffalo,Kathleen Robertson,Maya Stange,|,See full cast & crew,","2,955"
85,"$500,000","Luna Pictures,Piloton Entertainment,Velvet Films,See more »,",USA,Todd Stephens,"$654,132,",Another Gay Movie (2006) ,5.0,"Michael Carbonaro,Jonathan Chase,Jonah Blechman,|,See full cast & crew,","8,340"
