,budget,company,country,director,gross,name,rate,star,voter
0,"$52,000,000","GK Films,New Regency Pictures,Queen Films Ltd.,See more »,","UK,USA",Bryan Singer,"$112,185,859,",Bohemian Rhapsody (2018) ,8.4,"Rami Malek,Lucy Boynton,Gwilym Lee,|,See full cast & crew,","100,937"
1,,"Warner Bros. Pictures,Live Nation Productions,Metro-Goldwyn-Mayer (MGM),See more »,",USA,Bradley Cooper,"$181,490,907,",A Star Is Born (2018) ,8.2,"Lady Gaga,Bradley Cooper,Sam Elliott,|,See full cast & crew,","94,682"
2,"$54,000,000","Warner Bros.,Virtual Studios,Silver Pictures,See more »,","USA,UK,Germany",James McTeigue,"$70,511,035,",V for Vendetta (2005) ,8.2,"Hugo Weaving,Natalie Portman,Rupert Graves,|,See full cast & crew,","926,077"
3,"$19,400,000","Bull Productions,Double Dare You (DDY),Fox Searchlight Pictures,See more »,",USA,Guillermo del Toro,"$63,859,435,",The Shape of Water (2017) ,7.4,"Sally Hawkins,Octavia Spencer,Michael Shannon,|,See full cast & crew,","263,708"
4,"€4,000,000","Frenesy Film Company,La Cinéfacture,RT Features,See more »,","Italy,France,Brazil,USA",Luca Guadagnino,"$18,095,701,",Call Me by Your Name (2017) ,8.0,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,|,See full cast & crew,","131,757"
5,,"Archer Gray,Fox Searchlight Pictures,See more »,",USA,Marielle Heller,"$4,178,185,",Can You Ever Forgive Me? (2018) ,7.6,"Melissa McCarthy,Richard E. Grant,Dolly Wells,|,See full cast & crew,","1,712"
6,"$100,000,000","Red Granite Pictures,Appian Way,Sikelia Productions,See more »,",USA,Martin Scorsese,"$116,900,694",The Wolf of Wall Street (2013) ,8.2,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,|,See full cast & crew,","986,610"
7,,"Rectangle Productions,Wild Bunch,Les Cinémas de la Zone,See more »,","France,Belgium,USA",Gaspar Noé,,Climax (2018) ,7.7,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,|,See full cast & crew,","4,429"
8,"$60,000,000","Universal Pictures,Marc Platt Productions,Big Talk Productions,See more »,","USA,UK,Canada,Japan",Edgar Wright,"$31,494,270,",Scott Pilgrim vs. the World (2010) ,7.5,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,|,See full cast & crew,","326,514"
9,"$52,000,000","Universal Pictures,Relativity Media,Littlestar,See more »,","USA,UK,Germany",Phyllida Lloyd,"$144,130,063",Mamma Mia! (2008) ,6.4,"Meryl Streep,Pierce Brosnan,Amanda Seyfried,|,See full cast & crew,","182,676"
10,"$3,500,000","Blumhouse Productions,See more »,",USA,Jeff Wadlow,"$40,717,020,",Truth or Dare (2018) ,5.1,"Lucy Hale,Tyler Posey,Violett Beane,|,See full cast & crew,","26,099"
11,"$17,000,000","Fox 2000 Pictures,New Leaf Literary & Media,Temple Hill Entertainment,See more »,",USA,Greg Berlanti,"$40,826,341","Love, Simon (2018) ",7.7,"Nick Robinson,Jennifer Garner,Josh Duhamel,|,See full cast & crew,","65,847"
12,"$97,000,000","Twentieth Century Fox,TSG Entertainment,Scott Free Productions,See more »,","USA,UK",Ridley Scott,"$74,262,031",Alien: Covenant (2017) ,6.4,"Michael Fassbender,Katherine Waterston,Billy Crudup,|,See full cast & crew,","212,663"
13,"$21,000,000","Point Grey Pictures,DMG Entertainment,Good Universe,See more »,",USA,Kay Cannon,"$59,839,515",Blockers (2018) ,6.2,"Leslie Mann,John Cena,Ike Barinholtz,|,See full cast & crew,","43,720"
14,"$102,000,000","Cloud Atlas Productions,X-Filme Creative Pool,Anarchos Pictures,See more »,","Germany,USA,Hong Kong,Singapore",,"$27,108,272,",Cloud Atlas (2012) ,7.5,"Tom Hanks,Halle Berry,Hugh Grant,|,See full cast & crew,","319,761"
15,,"Maze Pictures,Entre Chien et Loup,Palomar,See more »,","UK,Belgium,Italy,Germany",Rupert Everett,"$441,140,",The Happy Prince (2018) ,6.4,"Rupert Everett,Colin Firth,Emily Watson,|,See full cast & crew,","1,842"
