,budget,company,country,director,gross,name,rate,star,voter
0,"$110,000,000","Donners' Company,Kinberg Genre,Marvel Entertainment,See more »,",USA,David Leitch,"$318,491,426",Deadpool 2 (2018) ,7.8,"Ryan Reynolds,Josh Brolin,Morena Baccarin,|,See full cast & crew,","300,044"
1,,"Element Pictures,Scarlet Films,Film4,See more »,","Ireland,UK,USA",Yorgos Lanthimos,,The Favourite (2018) ,8.1,"Olivia Colman,Emma Stone,Rachel Weisz,|,See full cast & crew,","1,731"
2,,"Los Angeles Media Fund (LAMF),Rocket Science,Bona Fide Productions,See more »,","UK,USA",Jesse Peretz,"$3,444,895,","Juliet, Naked (2018) ",6.7,"Chris O'Dowd,Rose Byrne,Kitty O'Beirne,|,See full cast & crew,","4,769"
3,"$54,000,000","Warner Bros.,Virtual Studios,Silver Pictures,See more »,","USA,UK,Germany",James McTeigue,"$70,511,035,",V for Vendetta (2005) ,8.2,"Hugo Weaving,Natalie Portman,Rupert Graves,|,See full cast & crew,","926,058"
4,"$40,000,000","DNA Films,Paramount Pictures,Scott Rudin Productions,See more »,","UK,USA",Alex Garland,"$32,732,301,",Annihilation (2018) ,6.9,"Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,|,See full cast & crew,","182,269"
5,,"Archer Gray,Fox Searchlight Pictures,See more »,",USA,Marielle Heller,"$4,178,185,",Can You Ever Forgive Me? (2018) ,7.6,"Melissa McCarthy,Richard E. Grant,Dolly Wells,|,See full cast & crew,","1,706"
6,"$100,000,000","Red Granite Pictures,Appian Way,Sikelia Productions,See more »,",USA,Martin Scorsese,"$116,900,694",The Wolf of Wall Street (2013) ,8.2,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,|,See full cast & crew,","986,562"
7,"$13,000,000","Blue Haze Entertainment,Canal+ España,El Deseo,See more »,",Spain,Pedro Almodóvar,"$3,185,812",La piel que habito (2011) ,7.6,"Antonio Banderas,Elena Anaya,Jan Cornet,|,See full cast & crew,","119,665"
8,,"Rectangle Productions,Wild Bunch,Les Cinémas de la Zone,See more »,","France,Belgium,USA",Gaspar Noé,,Climax (2018) ,7.7,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,|,See full cast & crew,","4,414"
9,"$13,000,000","Yellow Bird,ZDF Enterprises,Sveriges Television (SVT),See more »,","Sweden,Denmark,Germany,Norway",Niels Arden Oplev,"$10,095,170,",Män som hatar kvinnor (2009) ,7.8,"Michael Nyqvist,Noomi Rapace,Ewa Fröling,|,See full cast & crew,","193,312"
10,"$130,000,000","Warner Bros.,Paramount Pictures,Legendary Entertainment,See more »,",USA,Zack Snyder,"$107,509,799,",Watchmen (2009) ,7.6,"Jackie Earle Haley,Patrick Wilson,Carla Gugino,|,See full cast & crew,","441,125"
11,"$17,000,000","Brownstone Productions (II),Gold Circle Films,See more »,",USA,Jason Moore,"$65,001,093",Pitch Perfect (2012) ,7.2,"Anna Kendrick,Brittany Snow,Rebel Wilson,|,See full cast & crew,","247,737"
12,"$60,000,000","Universal Pictures,Marc Platt Productions,Big Talk Productions,See more »,","USA,UK,Canada,Japan",Edgar Wright,"$31,494,270,",Scott Pilgrim vs. the World (2010) ,7.5,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,|,See full cast & crew,","326,503"
13,"$80,000,000","DreamWorks,Roth-Arnold Productions,See more »,",USA,Jan de Bont,"$91,411,151",The Haunting (1999) ,4.9,"Liam Neeson,Catherine Zeta-Jones,Owen Wilson,|,See full cast & crew,","65,396"
