,budget,company,country,director,gross,name,rate,star,voter
0,"$13,000,000","Blue Haze Entertainment,Canal+ España,El Deseo,See more »,",Spain,Pedro Almodóvar,"$3,185,812",La piel que habito (2011) ,7.6,"Antonio Banderas,Elena Anaya,Jan Cornet,|,See full cast & crew,","119,657"
1,,"Menuet Producties,Frakas Productions,Topkapi Films,See more »,","Belgium,Netherlands",Lukas Dhont,,Girl (2018) ,7.5,"Victor Polster,Arieh Worthalter,Oliver Bodart,|,See full cast & crew,","2,065"
2,"$5,000,000","Truth Entertainment (II),Voltage Pictures,r2 films,See more »,",USA,Jean-Marc Vallée,"$27,298,285",Dallas Buyers Club (2013) ,8.0,"Matthew McConaughey,Jennifer Garner,Jared Leto,|,See full cast & crew,","389,249"
3,"$15,000,000","Working Title Films,Pretty Pictures,ReVision Pictures,See more »,","UK,USA,Germany,Denmark,Belgium,Japan",Tom Hooper,"$12,706,393,",The Danish Girl (2015) ,7.1,"Eddie Redmayne,Alicia Vikander,Amber Heard,|,See full cast & crew,","137,888"
4,,"Touchstone Pictures,Happy Madison Productions,See more »,",USA,Tom Brady,"$35,081,594",The Hot Chick (2002) ,5.5,"Rob Schneider,Rachel McAdams,Anna Faris,|,See full cast & crew,","82,829"
5,,"Screen Australia,Screen Queensland,Blacklab Entertainment,See more »,","Australia,USA",,"$68,372",Predestination (2014) ,7.5,"Ethan Hawke,Sarah Snook,Noah Taylor,|,See full cast & crew,","216,727"
6,"$80,000,000","Warner Bros.,Legendary Entertainment,Green Hat Films,See more »,",USA,Todd Phillips,"$254,464,305,",The Hangover Part II (2011) ,6.5,"Bradley Cooper,Zach Galifianakis,Ed Helms,|,See full cast & crew,","421,354"
7,"$13,000,000","Twentieth Century Fox,Alcon Entertainment,See more »,",USA,Danny Leiner,"$46,729,800","Dude, Where's My Car? (2000) ",5.5,"Ashton Kutcher,Seann William Scott,Jennifer Garner,|,See full cast & crew,","126,554"
8,"$9,000,000","Screen Gems,Columbia Pictures Corporation,Mandate Pictures,See more »,",USA,Peter Sollett,"$31,487,293,",Nick and Norah's Infinite Playlist (2008) ,6.7,"Michael Cera,Kat Dennings,Aaron Yoo,|,See full cast & crew,","82,746"
9,"$57,000,000","Warner Bros.,Bel Air Entertainment,Maysville Pictures,See more »,",USA,Stephen Herek,"$17,008,282",Rock Star (2001) ,6.2,"Mark Wahlberg,Jennifer Aniston,Dominic West,|,See full cast & crew,","38,010"
10,"$2,000,000","Fox Searchlight Pictures,The Independent Film Channel Productions,Killer Films,See more »,",USA,Kimberly Peirce,"$11,533,945,",Boys Don't Cry (1999) ,7.6,"Hilary Swank,Chloë Sevigny,Peter Sarsgaard,|,See full cast & crew,","85,421"
11,,"Participant Media,Fabula,Komplizen Film,See more »,","Chile,Germany,Spain,USA",Sebastián Lelio,"$2,020,988,",Una Mujer Fantástica (2017) ,7.2,"Daniela Vega,Francisco Reyes,Luis Gnecco,|,See full cast & crew,","15,814"
12,,"El Deseo,Renn Productions,France 2 Cinéma,See more »,","Spain,France",Pedro Almodóvar,"$8,264,530,",Todo sobre mi madre (1999) ,7.9,"Cecilia Roth,Marisa Paredes,Candela Peña,|,See full cast & crew,","78,767"
13,"$1,200,000","Cheerleader LLC,Hate Kills Man (HKM),Ignite Entertainment,See more »,",USA,Jamie Babbit,"$2,205,627",But I'm a Cheerleader (1999) ,6.6,"Natasha Lyonne,Clea DuVall,Michelle Williams,|,See full cast & crew,","22,619"
14,"$100,000","Duplass Brothers Productions,Through Films,See more »,",USA,Sean Baker,"$701,837,",Tangerine (2015) ,7.1,"Kitana Kiki Rodriguez,Mya Taylor,Karren Karagulian,|,See full cast & crew,","21,599"
15,"$27,000,000","Number 9 Films,Film4,Intandem Films,See more »,",UK,Robert B. Weide,"$2,778,752,",How to Lose Friends & Alienate People (2008) ,6.4,"Simon Pegg,Kirsten Dunst,Megan Fox,|,See full cast & crew,","64,909"
16,"$8,000,000","Mockingbird Pictures,Trillium Productions,Parallel Film Productions,See more »,","UK,Ireland,France,USA",Rodrigo García,"$3,014,696",Albert Nobbs (2011) ,6.7,"Glenn Close,Mia Wasikowska,Aaron Taylor-Johnson,|,See full cast & crew,","21,761"
17,"$5,000,000","Canal+ España,El Deseo,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),See more »,",Spain,Pedro Almodóvar,"$5,211,842,",La mala educación (2004) ,7.5,"Gael García Bernal,Fele Martínez,Javier Cámara,|,See full cast & crew,","50,277"
18,,"British Columbia Film,CITY-TV,Government of British Columbia Film Incentive BC Program,See more »,",Canada,Anne Wheeler,"$2,011,254,",Better Than Chocolate (1999) ,6.1,"Wendy Crewson,Karyn Dwyer,Christina Cox,|,See full cast & crew,","7,269"
19,,"Pathé Pictures International,Bórd Scannán na hÉireann,Northern Ireland Film and Television Commission,See more »,","Ireland,UK",Neil Jordan,"$828,699,",Breakfast on Pluto (2005) ,7.3,"Cillian Murphy,Morgan Jones,Eva Birthistle,|,See full cast & crew,","19,254"
20,"$15,500,000","Icon Entertainment International,Rocket Pictures,Prospero Pictures,See more »,","USA,UK,Canada",Nick Hurran,,It's a Boy Girl Thing (2006) ,6.3,"Samaire Armstrong,Kevin Zegers,Sherry Miller,|,See full cast & crew,","36,441"
21,"$6,000,000","Killer Films,New Line Cinema,See more »,",USA,John Cameron Mitchell,"$3,029,081,",Hedwig and the Angry Inch (2001) ,7.8,"John Cameron Mitchell,Miriam Shor,Stephen Trask,|,See full cast & crew,","28,849"
22,,"Boz Productions,Insight Film Studios,Helsing Releasing,See more »,","Canada,USA",Bo Zenga,,Stan Helsing (2009) ,3.6,"Steve Howey,Diora Baird,Kenan Thompson,|,See full cast & crew,","10,956"
23,"$13,500,000","Centropolis Entertainment,See more »,",USA,Roland Emmerich,"$186,354,",Stonewall (2015) ,5.0,"Jeremy Irvine,Jonny Beauchamp,Joey King,|,See full cast & crew,","2,882"
24,,"Asahi National Broadcasting Company,Bandai Visual Company,DENTSU Music And Entertainment,See more »,",Japan,Takeshi Kitano,"$853,718,",Zatôichi (2003) ,7.6,"Takeshi Kitano,Tadanobu Asano,Yui Natsukawa,|,See full cast & crew,","44,159"
25,,"Lyla Films,MK2 Productions,See more »,","Canada,France",Xavier Dolan,,Laurence Anyways (2012) ,7.7,"Melvil Poupaud,Emmanuel Schwartz,Suzanne Clément,|,See full cast & crew,","14,898"
26,"$75,000,000","Revolution Studios,Pitt-Shelton Productions,The Pitt Group,See more »,",USA,Ron Shelton,"$30,013,346,",Hollywood Homicide (2003) ,5.3,"Harrison Ford,Josh Hartnett,Isaiah Washington,|,See full cast & crew,","33,718"
27,"$1,000,000","Belladonna Productions,See more »,",USA,Duncan Tucker,"$9,015,303,",Transamerica (2005) ,7.4,"Felicity Huffman,Kevin Zegers,Fionnula Flanagan,|,See full cast & crew,","38,590"
28,"$5,000,000","Big Beach Films,InFilm Productions,IM Global,See more »,",USA,Gaby Dellal,"$66,371,",3 Generations (2015) ,5.8,"Naomi Watts,Elle Fanning,Susan Sarandon,|,See full cast & crew,","4,561"
29,,"Madhouse,See more »,",Japan,,"$128,985,",Tôkyô goddofâzâzu (2003) ,7.9,"Tôru Emori,Yoshiaki Umegaki,Aya Okamoto,|,See full cast & crew,","24,847"
30,"$250,000","Plotdigger Films,See more »,",Canada,Ryan Nicholson,,Gutterballs (2008) ,4.7,"Alastair Gamble,Mihola Terzic,Nathan Witte,|,See full cast & crew,","2,849"
31,"$15,000,000","Tribeca Productions,See more »,",USA,Joel Schumacher,"$4,485,485,",Flawless (1999) ,6.4,"Robert De Niro,Philip Seymour Hoffman,Barry Miller,|,See full cast & crew,","16,184"
32,,"Seahorse Films,See more »,",UK,Rebekah Fortune,,Just Charlie (2017) ,6.9,"Karen Bryson,Harry Gilby,Scot Williams,|,See full cast & crew,",358
33,"€1,000,000","Hold Up Films,Arte France Cinéma,Lilies Films,See more »,",France,Céline Sciamma,"$129,834,",Tomboy (2011) ,7.4,"Zoé Héran,Malonn Lévana,Jeanne Disson,|,See full cast & crew,","15,081"
34,"£2,000,000","Tiger Aspect Productions,Icon Productions,Fragile Films,See more »,",UK,Ed Bye,,Kevin & Perry Go Large (2000) ,5.5,"Harry Enfield,Kathy Burke,Rhys Ifans,|,See full cast & crew,","11,221"
35,,"Ariztical Entertainment,EOSS Productions,Logo Films,See more »,",USA,Q. Allan Brocka,,Eating Out: The Open Weekend (2011) ,5.4,"Aaron Milo,Chris Puckett,Chris Salvatore,|,See full cast & crew,","2,018"
36,,"Small Town Girl Productions,See more »,",USA,Jessica Cameron,,Truth or Dare (2013) ,5.0,"Jessica Cameron,Ryan Kiser,Heather Dorff,|,See full cast & crew,",521
37,,"Milk and Honey - The Movie,Warrior Film Promotions,See more »,",UK,Matt Gambell,,Milk and Honey: The Movie (2018) ,0,"Mark Wingett,Claire King,Rachel Bright,|,See full cast & crew,",0
38,,"G. Rich Entertainment,See more »,",USA,Kevin DiNovis,,Surrender Dorothy (1998) ,6.0,"Peter Pryor,Kevin DiNovis,Jason Centeno,|,See full cast & crew,",306
39,,,USA,Eric Schaeffer,"$20,289,",Boy Meets Girl (2014) ,7.1,"Michael Welch,Michelle Hendley,Alexandra Turshen,|,See full cast & crew,","3,804"
40,,"Film Rock,Hill & Brand Entertainment,See more »,",USA,,,Transylmania (2009) ,3.9,"Patrick Cavanaugh,James DeBello,Tony Denman,|,See full cast & crew,","2,437"
41,,"Boogiefilm,Das Kleine Fernsehspiel (ZDF),Enigma Film,See more »,",Germany,Sabine Bernardi,"$773,",Romeos (2011) ,6.8,"Rick Okon,Max Befort,Liv Lisa Fries,|,See full cast & crew,","2,953"
42,,"Defender Films,Kirkham/Lewitt,See more »,",USA,Jordan Roberts,,Frankie Go Boom (2012) ,6.0,"Charlie Hunnam,Chris O'Dowd,Lizzy Caplan,|,See full cast & crew,","4,478"
43,"$17,000,000","Big Bang Production,Flame Ventures,Hannibal Pictures,See more »,",USA,Tony Krantz,,The Big Bang (2010) ,5.5,"Antonio Banderas,Thomas Kretschmann,William Fichtner,|,See full cast & crew,","6,558"
44,,"Lommel Entertainment,Peter Schamoni Film,See more »,",Germany,Ulli Lommel,,Daniel der Zauberer (2004) ,1.9,"Daniel Küblböck,Ulli Lommel,Rudolf Waldemar Brem,|,See full cast & crew,","13,645"
45,"€2,000,000","Götafilm,Periferia Productions Ky,Film i Väst,See more »,","Finland,Sweden",Alexandra-Therese Keining,,Pojkarna (2015) ,6.1,"Tuva Jagell,Emrik Öhlander,Louise Nyvall,|,See full cast & crew,",817
46,,"Dodgeville Films,Tigerlily Pictures LLC,See more »,",USA,Jennifer M. Kroot,,The Untold Tales of Armistead Maupin (2017) ,7.5,"Armistead Maupin,Frank Biafore,Kate Bornstein,|,See full cast & crew,",186
47,,"Colosé Producciones,Gustavo Sánchez Quesada,Películas la Trini,See more »,",Spain,Gustavo Sánchez,,I Hate New York (2018) ,7.6,"Amanda Lepore,Sophia Lamar,Chloe Dzubilo,|,See full cast & crew,",25
