,name,year,genre,rate,voter,director,star,country,company,budget,gross
0,Call Me by Your Name,(2017)," Drama, Romance            ",8.0,"131,656",Luca Guadagnino,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,|,See full cast & crew,","Italy,France,Brazil,USA","Frenesy Film Company,La Cinéfacture,RT Features,See more »,","€4,000,000","$18,095,701,"
1,Get Out,(I) (2017)," Horror, Mystery, Thriller            ",7.7,"343,495",Jordan Peele,"Daniel Kaluuya,Allison Williams,Bradley Whitford,|,See full cast & crew,","Japan,USA","Universal Pictures,Blumhouse Productions,QC Entertainment,See more »,","$5,000,000","$176,040,665"
2,Män som hatar kvinnor,(2009)," Crime, Drama, Mystery            ",7.8,"193,288",Niels Arden Oplev,"Michael Nyqvist,Noomi Rapace,Ewa Fröling,|,See full cast & crew,","Sweden,Denmark,Germany,Norway","Yellow Bird,ZDF Enterprises,Sveriges Television (SVT),See more »,","$13,000,000","$10,095,170,"
3,Scott Pilgrim vs. the World,(2010)," Action, Comedy, Fantasy            ",7.5,"326,465",Edgar Wright,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,|,See full cast & crew,","USA,UK,Canada,Japan","Universal Pictures,Marc Platt Productions,Big Talk Productions,See more »,","$60,000,000","$31,494,270,"
4,The Haunting,(1999)," Fantasy, Horror, Mystery            ",4.9,"65,392",Jan de Bont,"Liam Neeson,Catherine Zeta-Jones,Owen Wilson,|,See full cast & crew,",USA,"DreamWorks,Roth-Arnold Productions,See more »,","$80,000,000","$91,411,151"
5,The Grand Budapest Hotel,(2014)," Adventure, Comedy, Drama            ",8.1,"607,687",Wes Anderson,"Ralph Fiennes,F. Murray Abraham,Mathieu Amalric,|,See full cast & crew,","USA,Germany","Fox Searchlight Pictures,Indian Paintbrush,Studio Babelsberg,See more »,","$25,000,000","$59,100,318"
6,Atomic Blonde,(2017)," Action, Mystery, Thriller            ",6.7,"138,250",David Leitch,"Charlize Theron,James McAvoy,John Goodman,|,See full cast & crew,","Germany,Sweden,USA","87Eleven,Closed on Mondays Entertainment,Denver and Delilah Productions,See more »,","$30,000,000","$51,573,925,"
7,Mulholland Dr.,(2001)," Drama, Mystery, Thriller            ",8.0,"282,135",David Lynch,"Naomi Watts,Laura Harring,Justin Theroux,|,See full cast & crew,","France,USA","Les Films Alain Sarde,Asymmetrical Productions,Babbo Inc.,See more »,","$15,000,000","$7,220,243"
8,Ghost in the Shell,(2017)," Action, Drama, Sci-Fi            ",6.4,"163,771",Rupert Sanders,"Scarlett Johansson,Pilou Asbæk,Takeshi Kitano,|,See full cast & crew,","USA,India,Hong Kong,China","Paramount Pictures,DreamWorks,Reliance Entertainment,See more »,","$110,000,000","$40,533,014,"
9,Bad Moms,(2016), Comedy            ,6.2,"95,469",,"Mila Kunis,Kathryn Hahn,Kristen Bell,|,See full cast & crew,",USA,"STX Entertainment,Huayi Brothers Media,BillBlock Media,See more »,","$20,000,000","$113,257,297"
10,Brokeback Mountain,(2005)," Drama, Romance            ",7.7,"291,780",Ang Lee,"Jake Gyllenhaal,Heath Ledger,Michelle Williams,|,See full cast & crew,","USA,Canada","Focus Features,River Road Entertainment,Alberta Film Entertainment,See more »,","$14,000,000","$83,043,761"
11,The Invitation,(I) (2015)," Drama, Horror, Mystery            ",6.7,"62,917",Karyn Kusama,"Logan Marshall-Green,Emayatzy Corinealdi,Michiel Huisman,|,See full cast & crew,",USA,"Gamechanger Films,Lege Artis,The Invitation,See more »,",,"$231,703,"
12,The Lobster,(2015)," Comedy, Drama, Romance            ",7.1,"162,344",Yorgos Lanthimos,"Colin Farrell,Rachel Weisz,Jessica Barden,|,See full cast & crew,","Ireland,UK,Greece,France,Netherlands","Film4,Irish Film Board,Irish Film Board,See more »,","€4,000,000","$8,699,235,"
13,Flickan som lekte med elden,(2009)," Crime, Drama, Mystery            ",7.2,"82,778",Daniel Alfredson,"Noomi Rapace,Michael Nyqvist,Lena Endre,|,See full cast & crew,","Sweden,Denmark,Germany","Yellow Bird,ZDF Enterprises,Sveriges Television (SVT),See more »,","€4,000,000","$9,081,782"
14,Rough Night,(2017)," Comedy, Crime, Thriller            ",5.2,"35,803",Lucia Aniello,"Scarlett Johansson,Kate McKinnon,Zoë Kravitz,|,See full cast & crew,",USA,"Paulilu Productions,Sony Pictures Entertainment (SPE),See more »,","$20,000,000","$22,062,200,"
15,A Bad Moms Christmas,(2017)," Adventure, Comedy            ",5.5,"27,221",,"Mila Kunis,Kristen Bell,Kathryn Hahn,|,See full cast & crew,","USA,China","Huayi Brothers Media,STX Entertainment,See more »,","$28,000,000","$72,110,659,"
16,Dodgeball: A True Underdog Story,(2004)," Comedy, Sport            ",6.7,"208,071",Rawson Marshall Thurber,"Ben Stiller,Christine Taylor,Vince Vaughn,|,See full cast & crew,","USA,Germany","Twentieth Century Fox,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Red Hour Films,See more »,","$20,000,000","$114,326,736"
17,Magic Mike,(2012)," Comedy, Drama            ",6.1,"121,100",Steven Soderbergh,"Channing Tatum,Alex Pettyfer,Olivia Munn,|,See full cast & crew,",USA,"Iron Horse Entertainment (II),Extension 765,St. Petersburg Clearwater Film Commission,See more »,","$7,000,000","$113,721,571,"
18,Wild Things,(1998)," Crime, Drama, Mystery            ",6.5,"99,210",John McNaughton,"Kevin Bacon,Neve Campbell,Matt Dillon,|,See full cast & crew,",USA,"Mandalay Entertainment,See more »,","$20,000,000","$29,753,944,"
19,Professor Marston and the Wonder Women,(2017)," Biography, Drama            ",7.1,"15,315",Angela Robinson,"Luke Evans,Rebecca Hall,Bella Heathcote,|,See full cast & crew,",USA,"Opposite Field Pictures,Boxspring Entertainment,Stage 6 Films,See more »,",,"$1,584,759,"
20,The Catcher Was a Spy,(2018)," Biography, Drama, War            ",6.1,"2,820",Ben Lewin,"Paul Rudd,Connie Nielsen,Sienna Miller,|,See full cast & crew,",USA,"PalmStar Media,Animus Films,Serena Films,See more »,",,"$712,438,"
21,Alexander,(2004)," Action, Adventure, Biography            ",5.6,"151,728",Oliver Stone,"Colin Farrell,Anthony Hopkins,Rosario Dawson,|,See full cast & crew,","Germany,USA,Netherlands,France,UK,Italy","Warner Bros.,Intermedia Films,Pacifica Film,See more »,",,
22,Vicky Cristina Barcelona,(2008)," Drama, Romance            ",7.1,"222,782",Woody Allen,"Rebecca Hall,Scarlett Johansson,Javier Bardem,|,See full cast & crew,","Spain,USA","The Weinstein Company,Mediapro,Gravier Productions,See more »,","$15,500,000","$23,216,709"
23,The Talented Mr. Ripley,(1999)," Crime, Drama, Thriller            ",7.4,"157,254",Anthony Minghella,"Matt Damon,Gwyneth Paltrow,Jude Law,|,See full cast & crew,",USA,"Miramax,Paramount Pictures,Mirage Enterprises,See more »,","$40,000,000","$81,298,265"
24,Mike and Dave Need Wedding Dates,(2016)," Adventure, Comedy, Romance            ",6.0,"71,170",Jake Szymanski,"Zac Efron,Adam Devine,Anna Kendrick,|,See full cast & crew,",USA,"Twentieth Century Fox,Chernin Entertainment,TSG Entertainment,See more »,","$33,000,000","$46,007,113,"
25,Rent,(2005)," Drama, Musical, Romance            ",7.0,"45,447",Chris Columbus,"Taye Diggs,Wilson Jermaine Heredia,Rosario Dawson,|,See full cast & crew,",USA,"Rent Productions LLC,1492 Pictures,Revolution Studios,See more »,","$40,000,000","$29,077,547,"
26,Film Stars Don't Die in Liverpool,(2017)," Biography, Drama, Romance            ",6.7,"5,371",Paul McGuigan,"Annette Bening,Jamie Bell,Kenneth Cranham,|,See full cast & crew,",UK,"Eon Productions,Synchronistic Pictures,See more »,","$10,000,000","$1,026,124,"
