,name,year,genre,rate,voter,director,star,country,company,budget,gross
0,Bohemian Rhapsody,(2018)," Biography, Drama, Music            ",8.4,"100,937",Bryan Singer,"Rami Malek,Lucy Boynton,Gwilym Lee,|,See full cast & crew,","UK,USA","GK Films,New Regency Pictures,Queen Films Ltd.,See more »,","$52,000,000","$112,185,859,"
1,A Star Is Born,(2018)," Drama, Music, Romance            ",8.2,"94,682",Bradley Cooper,"Lady Gaga,Bradley Cooper,Sam Elliott,|,See full cast & crew,",USA,"Warner Bros. Pictures,Live Nation Productions,Metro-Goldwyn-Mayer (MGM),See more »,",,"$181,490,907,"
2,V for Vendetta,(2005)," Action, Drama, Sci-Fi            ",8.2,"926,077",James McTeigue,"Hugo Weaving,Natalie Portman,Rupert Graves,|,See full cast & crew,","USA,UK,Germany","Warner Bros.,Virtual Studios,Silver Pictures,See more »,","$54,000,000","$70,511,035,"
3,The Shape of Water,(2017)," Adventure, Drama, Fantasy            ",7.4,"263,708",Guillermo del Toro,"Sally Hawkins,Octavia Spencer,Michael Shannon,|,See full cast & crew,",USA,"Bull Productions,Double Dare You (DDY),Fox Searchlight Pictures,See more »,","$19,400,000","$63,859,435,"
4,Call Me by Your Name,(2017)," Drama, Romance            ",8.0,"131,757",Luca Guadagnino,"Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,|,See full cast & crew,","Italy,France,Brazil,USA","Frenesy Film Company,La Cinéfacture,RT Features,See more »,","€4,000,000","$18,095,701,"
5,Can You Ever Forgive Me?,(2018)," Biography, Comedy, Crime            ",7.6,"1,712",Marielle Heller,"Melissa McCarthy,Richard E. Grant,Dolly Wells,|,See full cast & crew,",USA,"Archer Gray,Fox Searchlight Pictures,See more »,",,"$4,178,185,"
6,The Wolf of Wall Street,(2013)," Biography, Comedy, Crime            ",8.2,"986,610",Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,|,See full cast & crew,",USA,"Red Granite Pictures,Appian Way,Sikelia Productions,See more »,","$100,000,000","$116,900,694"
7,Climax,(2018)," Drama, Horror, Music            ",7.7,"4,429",Gaspar Noé,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,|,See full cast & crew,","France,Belgium,USA","Rectangle Productions,Wild Bunch,Les Cinémas de la Zone,See more »,",,
8,Scott Pilgrim vs. the World,(2010)," Action, Comedy, Fantasy            ",7.5,"326,514",Edgar Wright,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,|,See full cast & crew,","USA,UK,Canada,Japan","Universal Pictures,Marc Platt Productions,Big Talk Productions,See more »,","$60,000,000","$31,494,270,"
9,Mamma Mia!,(2008)," Comedy, Musical, Romance            ",6.4,"182,676",Phyllida Lloyd,"Meryl Streep,Pierce Brosnan,Amanda Seyfried,|,See full cast & crew,","USA,UK,Germany","Universal Pictures,Relativity Media,Littlestar,See more »,","$52,000,000","$144,130,063"
10,Truth or Dare,(I) (2018)," Horror, Thriller            ",5.1,"26,099",Jeff Wadlow,"Lucy Hale,Tyler Posey,Violett Beane,|,See full cast & crew,",USA,"Blumhouse Productions,See more »,","$3,500,000","$40,717,020,"
11,"Love, Simon",(2018)," Comedy, Drama, Romance            ",7.7,"65,847",Greg Berlanti,"Nick Robinson,Jennifer Garner,Josh Duhamel,|,See full cast & crew,",USA,"Fox 2000 Pictures,New Leaf Literary & Media,Temple Hill Entertainment,See more »,","$17,000,000","$40,826,341"
