,name,year,genre,rate,voter,director,star,country,company,budget,gross
0,La piel que habito,(2011)," Drama, Horror, Thriller            ",7.6,"119,657",Pedro Almodóvar,"Antonio Banderas,Elena Anaya,Jan Cornet,|,See full cast & crew,",Spain,"Blue Haze Entertainment,Canal+ España,El Deseo,See more »,","$13,000,000","$3,185,812"
1,Girl,(II) (2018), Drama            ,7.5,"2,065",Lukas Dhont,"Victor Polster,Arieh Worthalter,Oliver Bodart,|,See full cast & crew,","Belgium,Netherlands","Menuet Producties,Frakas Productions,Topkapi Films,See more »,",,
2,Dallas Buyers Club,(2013)," Biography, Drama            ",8.0,"389,249",Jean-Marc Vallée,"Matthew McConaughey,Jennifer Garner,Jared Leto,|,See full cast & crew,",USA,"Truth Entertainment (II),Voltage Pictures,r2 films,See more »,","$5,000,000","$27,298,285"
3,The Danish Girl,(2015)," Biography, Drama, History            ",7.1,"137,888",Tom Hooper,"Eddie Redmayne,Alicia Vikander,Amber Heard,|,See full cast & crew,","UK,USA,Germany,Denmark,Belgium,Japan","Working Title Films,Pretty Pictures,ReVision Pictures,See more »,","$15,000,000","$12,706,393,"
4,The Hot Chick,(2002)," Comedy, Fantasy            ",5.5,"82,829",Tom Brady,"Rob Schneider,Rachel McAdams,Anna Faris,|,See full cast & crew,",USA,"Touchstone Pictures,Happy Madison Productions,See more »,",,"$35,081,594"
5,Predestination,(I) (2014)," Drama, Mystery, Sci-Fi            ",7.5,"216,727",,"Ethan Hawke,Sarah Snook,Noah Taylor,|,See full cast & crew,","Australia,USA","Screen Australia,Screen Queensland,Blacklab Entertainment,See more »,",,"$68,372"
6,The Hangover Part II,(2011)," Comedy, Mystery            ",6.5,"421,354",Todd Phillips,"Bradley Cooper,Zach Galifianakis,Ed Helms,|,See full cast & crew,",USA,"Warner Bros.,Legendary Entertainment,Green Hat Films,See more »,","$80,000,000","$254,464,305,"
7,"Dude, Where's My Car?",(2000)," Comedy, Mystery, Sci-Fi            ",5.5,"126,554",Danny Leiner,"Ashton Kutcher,Seann William Scott,Jennifer Garner,|,See full cast & crew,",USA,"Twentieth Century Fox,Alcon Entertainment,See more »,","$13,000,000","$46,729,800"
8,Nick and Norah's Infinite Playlist,(2008)," Comedy, Drama, Music            ",6.7,"82,746",Peter Sollett,"Michael Cera,Kat Dennings,Aaron Yoo,|,See full cast & crew,",USA,"Screen Gems,Columbia Pictures Corporation,Mandate Pictures,See more »,","$9,000,000","$31,487,293,"
9,Rock Star,(2001)," Drama, Music            ",6.2,"38,010",Stephen Herek,"Mark Wahlberg,Jennifer Aniston,Dominic West,|,See full cast & crew,",USA,"Warner Bros.,Bel Air Entertainment,Maysville Pictures,See more »,","$57,000,000","$17,008,282"
10,Boys Don't Cry,(1999)," Biography, Crime, Drama            ",7.6,"85,421",Kimberly Peirce,"Hilary Swank,Chloë Sevigny,Peter Sarsgaard,|,See full cast & crew,",USA,"Fox Searchlight Pictures,The Independent Film Channel Productions,Killer Films,See more »,","$2,000,000","$11,533,945,"
11,Una Mujer Fantástica,(2017), Drama            ,7.2,"15,814",Sebastián Lelio,"Daniela Vega,Francisco Reyes,Luis Gnecco,|,See full cast & crew,","Chile,Germany,Spain,USA","Participant Media,Fabula,Komplizen Film,See more »,",,"$2,020,988,"
12,Todo sobre mi madre,(1999), Drama            ,7.9,"78,767",Pedro Almodóvar,"Cecilia Roth,Marisa Paredes,Candela Peña,|,See full cast & crew,","Spain,France","El Deseo,Renn Productions,France 2 Cinéma,See more »,",,"$8,264,530,"
13,But I'm a Cheerleader,(1999)," Comedy, Drama, Romance            ",6.6,"22,619",Jamie Babbit,"Natasha Lyonne,Clea DuVall,Michelle Williams,|,See full cast & crew,",USA,"Cheerleader LLC,Hate Kills Man (HKM),Ignite Entertainment,See more »,","$1,200,000","$2,205,627"
14,Tangerine,(2015)," Comedy, Crime, Drama            ",7.1,"21,599",Sean Baker,"Kitana Kiki Rodriguez,Mya Taylor,Karren Karagulian,|,See full cast & crew,",USA,"Duplass Brothers Productions,Through Films,See more »,","$100,000","$701,837,"
15,How to Lose Friends & Alienate People,(2008)," Biography, Comedy, Drama            ",6.4,"64,909",Robert B. Weide,"Simon Pegg,Kirsten Dunst,Megan Fox,|,See full cast & crew,",UK,"Number 9 Films,Film4,Intandem Films,See more »,","$27,000,000","$2,778,752,"
16,Albert Nobbs,(2011)," Drama, Romance            ",6.7,"21,761",Rodrigo García,"Glenn Close,Mia Wasikowska,Aaron Taylor-Johnson,|,See full cast & crew,","UK,Ireland,France,USA","Mockingbird Pictures,Trillium Productions,Parallel Film Productions,See more »,","$8,000,000","$3,014,696"
17,La mala educación,(2004)," Crime, Drama            ",7.5,"50,277",Pedro Almodóvar,"Gael García Bernal,Fele Martínez,Javier Cámara,|,See full cast & crew,",Spain,"Canal+ España,El Deseo,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),See more »,","$5,000,000","$5,211,842,"
18,Better Than Chocolate,(1999)," Comedy, Drama, Romance            ",6.1,"7,269",Anne Wheeler,"Wendy Crewson,Karyn Dwyer,Christina Cox,|,See full cast & crew,",Canada,"British Columbia Film,CITY-TV,Government of British Columbia Film Incentive BC Program,See more »,",,"$2,011,254,"
19,Breakfast on Pluto,(2005)," Comedy, Drama            ",7.3,"19,254",Neil Jordan,"Cillian Murphy,Morgan Jones,Eva Birthistle,|,See full cast & crew,","Ireland,UK","Pathé Pictures International,Bórd Scannán na hÉireann,Northern Ireland Film and Television Commission,See more »,",,"$828,699,"
20,It's a Boy Girl Thing,(2006)," Comedy, Fantasy, Romance            ",6.3,"36,441",Nick Hurran,"Samaire Armstrong,Kevin Zegers,Sherry Miller,|,See full cast & crew,","USA,UK,Canada","Icon Entertainment International,Rocket Pictures,Prospero Pictures,See more »,","$15,500,000",
21,Hedwig and the Angry Inch,(2001)," Comedy, Drama, Music            ",7.8,"28,849",John Cameron Mitchell,"John Cameron Mitchell,Miriam Shor,Stephen Trask,|,See full cast & crew,",USA,"Killer Films,New Line Cinema,See more »,","$6,000,000","$3,029,081,"
22,Stan Helsing,(2009)," Comedy, Horror            ",3.6,"10,956",Bo Zenga,"Steve Howey,Diora Baird,Kenan Thompson,|,See full cast & crew,","Canada,USA","Boz Productions,Insight Film Studios,Helsing Releasing,See more »,",,
23,Stonewall,(2015), Drama            ,5.0,"2,882",Roland Emmerich,"Jeremy Irvine,Jonny Beauchamp,Joey King,|,See full cast & crew,",USA,"Centropolis Entertainment,See more »,","$13,500,000","$186,354,"
24,Zatôichi,(2003)," Action, Comedy, Crime            ",7.6,"44,159",Takeshi Kitano,"Takeshi Kitano,Tadanobu Asano,Yui Natsukawa,|,See full cast & crew,",Japan,"Asahi National Broadcasting Company,Bandai Visual Company,DENTSU Music And Entertainment,See more »,",,"$853,718,"
25,Laurence Anyways,(2012)," Drama, Romance            ",7.7,"14,898",Xavier Dolan,"Melvil Poupaud,Emmanuel Schwartz,Suzanne Clément,|,See full cast & crew,","Canada,France","Lyla Films,MK2 Productions,See more »,",,
26,Hollywood Homicide,(2003)," Action, Comedy, Crime            ",5.3,"33,718",Ron Shelton,"Harrison Ford,Josh Hartnett,Isaiah Washington,|,See full cast & crew,",USA,"Revolution Studios,Pitt-Shelton Productions,The Pitt Group,See more »,","$75,000,000","$30,013,346,"
27,Transamerica,(2005)," Adventure, Comedy, Drama            ",7.4,"38,590",Duncan Tucker,"Felicity Huffman,Kevin Zegers,Fionnula Flanagan,|,See full cast & crew,",USA,"Belladonna Productions,See more »,","$1,000,000","$9,015,303,"
28,3 Generations,(2015), Drama            ,5.8,"4,561",Gaby Dellal,"Naomi Watts,Elle Fanning,Susan Sarandon,|,See full cast & crew,",USA,"Big Beach Films,InFilm Productions,IM Global,See more »,","$5,000,000","$66,371,"
29,Tôkyô goddofâzâzu,(2003)," Animation, Adventure, Comedy            ",7.9,"24,847",,"Tôru Emori,Yoshiaki Umegaki,Aya Okamoto,|,See full cast & crew,",Japan,"Madhouse,See more »,",,"$128,985,"
30,Gutterballs,(2008)," Comedy, Horror, Sport            ",4.7,"2,849",Ryan Nicholson,"Alastair Gamble,Mihola Terzic,Nathan Witte,|,See full cast & crew,",Canada,"Plotdigger Films,See more »,","$250,000",
31,Flawless,(1999)," Comedy, Crime, Drama            ",6.4,"16,184",Joel Schumacher,"Robert De Niro,Philip Seymour Hoffman,Barry Miller,|,See full cast & crew,",USA,"Tribeca Productions,See more »,","$15,000,000","$4,485,485,"
32,Just Charlie,(2017), Drama            ,6.9,358,Rebekah Fortune,"Karen Bryson,Harry Gilby,Scot Williams,|,See full cast & crew,",UK,"Seahorse Films,See more »,",,
33,Tomboy,(2011), Drama            ,7.4,"15,081",Céline Sciamma,"Zoé Héran,Malonn Lévana,Jeanne Disson,|,See full cast & crew,",France,"Hold Up Films,Arte France Cinéma,Lilies Films,See more »,","€1,000,000","$129,834,"
34,Kevin & Perry Go Large,(2000)," Comedy, Music            ",5.5,"11,221",Ed Bye,"Harry Enfield,Kathy Burke,Rhys Ifans,|,See full cast & crew,",UK,"Tiger Aspect Productions,Icon Productions,Fragile Films,See more »,","£2,000,000",
35,Eating Out: The Open Weekend,(2011), Comedy            ,5.4,"2,018",Q. Allan Brocka,"Aaron Milo,Chris Puckett,Chris Salvatore,|,See full cast & crew,",USA,"Ariztical Entertainment,EOSS Productions,Logo Films,See more »,",,
36,Truth or Dare,(II) (2013)," Horror, Thriller            ",5.0,521,Jessica Cameron,"Jessica Cameron,Ryan Kiser,Heather Dorff,|,See full cast & crew,",USA,"Small Town Girl Productions,See more »,",,
37,Milk and Honey: The Movie,(2018)," Action, Crime, Drama            ",0.0,0,Matt Gambell,"Mark Wingett,Claire King,Rachel Bright,|,See full cast & crew,",UK,"Milk and Honey - The Movie,Warrior Film Promotions,See more »,",,
38,Surrender Dorothy,(1998)," Comedy, Drama, Romance            ",6.0,306,Kevin DiNovis,"Peter Pryor,Kevin DiNovis,Jason Centeno,|,See full cast & crew,",USA,"G. Rich Entertainment,See more »,",,
39,Boy Meets Girl,(I) (2014)," Comedy, Drama, Romance            ",7.1,"3,804",Eric Schaeffer,"Michael Welch,Michelle Hendley,Alexandra Turshen,|,See full cast & crew,",USA,,,"$20,289,"
40,Transylmania,(2009)," Comedy, Horror            ",3.9,"2,437",,"Patrick Cavanaugh,James DeBello,Tony Denman,|,See full cast & crew,",USA,"Film Rock,Hill & Brand Entertainment,See more »,",,
41,Romeos,(2011)," Drama, Romance            ",6.8,"2,953",Sabine Bernardi,"Rick Okon,Max Befort,Liv Lisa Fries,|,See full cast & crew,",Germany,"Boogiefilm,Das Kleine Fernsehspiel (ZDF),Enigma Film,See more »,",,"$773,"
42,Frankie Go Boom,(2012), Comedy            ,6.0,"4,478",Jordan Roberts,"Charlie Hunnam,Chris O'Dowd,Lizzy Caplan,|,See full cast & crew,",USA,"Defender Films,Kirkham/Lewitt,See more »,",,
43,The Big Bang,(2010)," Action, Mystery, Thriller            ",5.5,"6,558",Tony Krantz,"Antonio Banderas,Thomas Kretschmann,William Fichtner,|,See full cast & crew,",USA,"Big Bang Production,Flame Ventures,Hannibal Pictures,See more »,","$17,000,000",
44,Daniel der Zauberer,(2004)," Comedy, Crime, Fantasy            ",1.9,"13,645",Ulli Lommel,"Daniel Küblböck,Ulli Lommel,Rudolf Waldemar Brem,|,See full cast & crew,",Germany,"Lommel Entertainment,Peter Schamoni Film,See more »,",,
45,Pojkarna,(II) (2015), Drama            ,6.1,817,Alexandra-Therese Keining,"Tuva Jagell,Emrik Öhlander,Louise Nyvall,|,See full cast & crew,","Finland,Sweden","Götafilm,Periferia Productions Ky,Film i Väst,See more »,","€2,000,000",
46,The Untold Tales of Armistead Maupin,(2017), Documentary            ,7.5,186,Jennifer M. Kroot,"Armistead Maupin,Frank Biafore,Kate Bornstein,|,See full cast & crew,",USA,"Dodgeville Films,Tigerlily Pictures LLC,See more »,",,
47,I Hate New York,(2018), Documentary            ,7.6,25,Gustavo Sánchez,"Amanda Lepore,Sophia Lamar,Chloe Dzubilo,|,See full cast & crew,",Spain,"Colosé Producciones,Gustavo Sánchez Quesada,Películas la Trini,See more »,",,
