,name,year,genre,rate,voter,director,star,country,company,budget,gross
0,Deadpool 2,(2018)," Action, Adventure, Comedy            ",7.8,"300,044",David Leitch,"Ryan Reynolds,Josh Brolin,Morena Baccarin,|,See full cast & crew,",USA,"Donners' Company,Kinberg Genre,Marvel Entertainment,See more »,","$110,000,000","$318,491,426"
1,The Favourite,(2018)," Biography, Drama            ",8.1,"1,731",Yorgos Lanthimos,"Olivia Colman,Emma Stone,Rachel Weisz,|,See full cast & crew,","Ireland,UK,USA","Element Pictures,Scarlet Films,Film4,See more »,",,
2,"Juliet, Naked",(2018)," Comedy, Drama, Music            ",6.7,"4,769",Jesse Peretz,"Chris O'Dowd,Rose Byrne,Kitty O'Beirne,|,See full cast & crew,","UK,USA","Los Angeles Media Fund (LAMF),Rocket Science,Bona Fide Productions,See more »,",,"$3,444,895,"
3,V for Vendetta,(2005)," Action, Drama, Sci-Fi            ",8.2,"926,058",James McTeigue,"Hugo Weaving,Natalie Portman,Rupert Graves,|,See full cast & crew,","USA,UK,Germany","Warner Bros.,Virtual Studios,Silver Pictures,See more »,","$54,000,000","$70,511,035,"
4,Annihilation,(2018)," Adventure, Drama, Horror            ",6.9,"182,269",Alex Garland,"Natalie Portman,Jennifer Jason Leigh,Tessa Thompson,|,See full cast & crew,","UK,USA","DNA Films,Paramount Pictures,Scott Rudin Productions,See more »,","$40,000,000","$32,732,301,"
5,Can You Ever Forgive Me?,(2018)," Biography, Comedy, Crime            ",7.6,"1,706",Marielle Heller,"Melissa McCarthy,Richard E. Grant,Dolly Wells,|,See full cast & crew,",USA,"Archer Gray,Fox Searchlight Pictures,See more »,",,"$4,178,185,"
6,The Wolf of Wall Street,(2013)," Biography, Comedy, Crime            ",8.2,"986,562",Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Margot Robbie,|,See full cast & crew,",USA,"Red Granite Pictures,Appian Way,Sikelia Productions,See more »,","$100,000,000","$116,900,694"
7,La piel que habito,(2011)," Drama, Horror, Thriller            ",7.6,"119,665",Pedro Almodóvar,"Antonio Banderas,Elena Anaya,Jan Cornet,|,See full cast & crew,",Spain,"Blue Haze Entertainment,Canal+ España,El Deseo,See more »,","$13,000,000","$3,185,812"
8,Climax,(2018)," Drama, Horror, Music            ",7.7,"4,414",Gaspar Noé,"Sofia Boutella,Romain Guillermic,Souheila Yacoub,|,See full cast & crew,","France,Belgium,USA","Rectangle Productions,Wild Bunch,Les Cinémas de la Zone,See more »,",,
9,Män som hatar kvinnor,(2009)," Crime, Drama, Mystery            ",7.8,"193,312",Niels Arden Oplev,"Michael Nyqvist,Noomi Rapace,Ewa Fröling,|,See full cast & crew,","Sweden,Denmark,Germany,Norway","Yellow Bird,ZDF Enterprises,Sveriges Television (SVT),See more »,","$13,000,000","$10,095,170,"
10,Watchmen,(2009)," Action, Drama, Mystery            ",7.6,"441,125",Zack Snyder,"Jackie Earle Haley,Patrick Wilson,Carla Gugino,|,See full cast & crew,",USA,"Warner Bros.,Paramount Pictures,Legendary Entertainment,See more »,","$130,000,000","$107,509,799,"
